symbol,price,as_of,session,source
AAPL,308.45,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
AMD,519.5,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
AMZN,243.0,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
ANET,159.6788,2026-07-02T19:40:00-04:00,aftermarket,latest_downloaded_5M_bar
APP,527.9002,2026-07-02T19:50:00-04:00,aftermarket,latest_downloaded_5M_bar
ARM,316.2044,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
ASTS,85.5,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
AVGO,362.0,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
COIN,165.7,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
COST,948.52,2026-07-02T19:45:00-04:00,aftermarket,latest_downloaded_5M_bar
CRM,166.3,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
CRWD,194.1409,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
GOOGL,359.25,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
HIMS,37.05,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
HOOD,111.98,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
INTC,121.0,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
IONQ,49.63,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
META,584.884,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
MSFT,390.83,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
MSTR,101.9585,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
MU,976.63,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
NET,242.8078,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
NFLX,77.6091,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
NOW,105.89,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
NVDA,194.44,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
PANW,346.5904,2026-07-02T18:20:00-04:00,aftermarket,latest_downloaded_5M_bar
PLTR,129.78,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
QQQ,714.22,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
RBLX,55.3999,2026-07-02T19:50:00-04:00,aftermarket,latest_downloaded_5M_bar
RKLB,100.15,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
SHOP,119.5,2026-07-02T19:50:00-04:00,aftermarket,latest_downloaded_5M_bar
SMCI,27.28,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
SNOW,257.9735,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
SOFI,18.2395,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
SPY,745.7101,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
TEM,60.04,2026-07-02T19:50:00-04:00,aftermarket,latest_downloaded_5M_bar
TSLA,394.4,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
UBER,74.35,2026-07-02T19:55:00-04:00,aftermarket,latest_downloaded_5M_bar
