stage,count,pct_of_candidates
entry_candidates,21998,100.0
entry_eligible,3367,15.31
simulated_trades,3367,15.31
rejected: price_never_touched_zone,12400,56.37
rejected: zone_touched_no_directional_rejection_or_break,2352,10.69
rejected: overlap_same_symbol,1849,8.41
rejected: zone_touched_wrong_ema_side,773,3.51
rejected: confirmation_pending_low_volume_or_small_body,720,3.27
rejected: confirmation_or_zone_touch_before_min_entry_time,262,1.19
rejected: zone_touched_wrong_ema_and_vwap_side,122,0.55
rejected: zone_touched_no_structure_confirmation,68,0.31
rejected: zone_touched_wrong_vwap_side,41,0.19
rejected: no_future_bars,31,0.14
rejected: invalid_risk,13,0.06
