audit_scope,flag,trades,sample_flag,profit_win_rate,target_hit_rate,avg_r,total_r,avg_mfe_r,avg_mae_r,pct_of_scope
all_trades,mae_after_exit_detected,1171,ok,15.88,9.14,-0.607,-710.781,2.536,-9.742,34.78
all_trades,mfe_after_exit_detected,890,ok,44.04,23.15,0.207,184.671,3.391,-2.918,26.43
all_trades,unrealistic_r_outlier,226,ok,17.26,43.36,-0.303,-68.491,15.413,-49.333,6.71
all_trades,stop_after_reached_1r,201,ok,0.0,30.35,-1.0,-201.0,16.858,-54.687,5.97
all_trades,same_candle_ambiguity,137,ok,0.0,44.53,-1.0,-137.0,24.001,-79.483,4.07
all_trades,one_r_and_stop_same_candle,137,ok,0.0,44.53,-1.0,-137.0,24.001,-79.483,4.07
all_trades,stop_after_reached_2r,96,ok,0.0,63.54,-1.0,-96.0,33.683,-110.938,2.85
all_trades,two_r_and_stop_same_candle,81,ok,0.0,75.31,-1.0,-81.0,39.486,-131.162,2.41
all_trades,target_and_stop_same_candle,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,1.81
all_trades,three_r_and_stop_same_candle,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,1.81
all_trades,stop_after_reached_3r,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,1.81
all_trades,target_available_but_not_taken,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,1.81
all_trades,ema_protection_available_but_not_taken,0,no_sample,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reversal_rejection,mae_after_exit_detected,989,ok,15.07,10.62,-0.611,-603.89,2.881,-11.365,41.09
reversal_rejection,mfe_after_exit_detected,690,ok,34.35,23.33,-0.012,-8.267,3.889,-3.615,28.67
reversal_rejection,unrealistic_r_outlier,220,ok,16.82,43.64,-0.323,-71.024,15.777,-50.65,9.14
reversal_rejection,stop_after_reached_1r,197,ok,0.0,30.96,-1.0,-197.0,17.163,-55.766,8.18
reversal_rejection,same_candle_ambiguity,135,ok,0.0,45.19,-1.0,-135.0,24.326,-80.635,5.61
reversal_rejection,one_r_and_stop_same_candle,135,ok,0.0,45.19,-1.0,-135.0,24.326,-80.635,5.61
reversal_rejection,stop_after_reached_2r,95,ok,0.0,64.21,-1.0,-95.0,34.015,-112.088,3.95
reversal_rejection,two_r_and_stop_same_candle,81,ok,0.0,75.31,-1.0,-81.0,39.486,-131.162,3.37
reversal_rejection,target_and_stop_same_candle,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,2.53
reversal_rejection,three_r_and_stop_same_candle,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,2.53
reversal_rejection,stop_after_reached_3r,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,2.53
reversal_rejection,target_available_but_not_taken,61,ok,0.0,100.0,-1.0,-61.0,51.649,-172.452,2.53
reversal_rejection,ema_protection_available_but_not_taken,0,no_sample,0.0,0.0,0.0,0.0,0.0,0.0,0.0
