symbol,edge_read,trades,profit_wins,profit_win_rate,target_hits,target_hit_rate,reached_1r_rate,reached_2r_rate,avg_r,median_r,total_r,avg_mfe_r,avg_mae_r
COIN,Slight edge,94,48,51.06,11,11.7,42.55,18.09,0.209,0.016,19.628,1.249,-0.699
SMCI,Positive edge,86,48,55.81,10,11.63,45.35,19.77,0.204,0.156,17.57,1.274,-1.49
AAPL,Slight edge,83,41,49.4,7,8.43,40.96,14.46,0.17,-0.06,14.138,0.998,-0.87
INTC,Slight edge,83,44,53.01,7,8.43,44.58,16.87,0.168,0.093,13.975,13.672,-9.145
APP,Flat / noisy,109,52,47.71,12,11.01,34.86,20.18,0.116,-0.037,12.677,1.066,-1.422
RBLX,Slight edge,97,47,48.45,10,10.31,42.27,14.43,0.127,-0.125,12.295,1.373,-0.86
CRWD,Slight edge,90,47,52.22,9,10.0,40.0,15.56,0.13,0.064,11.706,1.189,-0.873
AVGO,Slight edge,87,45,51.72,8,9.2,33.33,18.39,0.114,0.041,9.882,1.386,-1.135
IONQ,Slight edge,103,51,49.51,10,9.71,46.6,17.48,0.092,-0.03,9.46,1.779,-1.056
UBER,Flat / noisy,104,49,47.12,5,4.81,25.96,9.62,0.066,-0.056,6.868,0.814,-0.774
ANET,Slight edge,98,55,56.12,4,4.08,31.63,6.12,0.063,0.064,6.132,0.795,-0.74
NVDA,Slight edge,80,41,51.25,4,5.0,27.5,10.0,0.071,0.004,5.684,0.808,-0.713
HIMS,Flat / noisy,90,41,45.56,5,5.56,40.0,14.44,0.06,-0.124,5.362,1.036,-1.11
AMD,Flat / noisy,84,38,45.24,7,8.33,41.67,13.1,0.061,-0.159,5.09,1.277,-0.711
META,Flat / noisy,85,40,47.06,4,4.71,20.0,4.71,0.058,-0.033,4.96,0.616,-0.6
NET,Flat / noisy,94,45,47.87,4,4.26,31.91,9.57,0.051,-0.038,4.771,1.172,-0.794
TSLA,Flat / noisy,107,51,47.66,6,5.61,31.78,11.21,0.044,-0.05,4.657,0.991,-1.752
ARM,Flat / noisy,76,34,44.74,5,6.58,34.21,10.53,0.054,-0.154,4.073,0.873,-0.678
TEM,Flat / noisy,101,49,48.51,6,5.94,35.64,9.9,0.031,-0.018,3.103,0.985,-0.716
SOFI,Flat / noisy,88,39,44.32,6,6.82,28.41,13.64,0.026,-0.226,2.303,0.887,-0.791
NOW,Flat / noisy,84,45,53.57,4,4.76,22.62,7.14,0.022,0.027,1.862,0.725,-0.655
SPY,Flat / noisy,68,29,42.65,3,4.41,32.35,13.24,0.018,-0.07,1.237,0.804,-1.03
RKLB,Flat / noisy,94,47,50.0,4,4.26,43.62,11.7,0.002,0.015,0.209,1.092,-1.362
MSTR,Flat / noisy,96,38,39.58,9,9.38,33.33,12.5,-0.005,-0.228,-0.437,1.042,-0.92
NFLX,Flat / noisy,86,39,45.35,6,6.98,24.42,11.63,-0.009,-0.105,-0.766,0.918,-1.598
SNOW,Flat / noisy,81,34,41.98,4,4.94,34.57,11.11,-0.01,-0.082,-0.798,0.924,-0.776
CRM,Flat / noisy,88,40,45.45,6,6.82,31.82,13.64,-0.011,-0.1,-0.99,1.123,-0.722
PANW,Flat / noisy,94,45,47.87,7,7.45,35.11,11.7,-0.011,-0.054,-1.031,1.528,-4.271
COST,Flat / noisy,93,43,46.24,8,8.6,29.03,10.75,-0.019,-0.049,-1.765,1.223,-0.719
SHOP,Flat / noisy,106,48,45.28,5,4.72,32.08,15.09,-0.017,-0.114,-1.835,1.374,-1.241
PLTR,Flat / noisy,85,37,43.53,6,7.06,29.41,10.59,-0.032,-0.135,-2.754,0.889,-0.934
QQQ,Flat / noisy,72,33,45.83,5,6.94,27.78,8.33,-0.044,-0.122,-3.195,0.808,-0.607
MSFT,Negative edge,78,37,47.44,3,3.85,19.23,7.69,-0.08,-0.047,-6.237,17.384,-113.608
MU,Negative edge,65,27,41.54,4,6.15,24.62,12.31,-0.103,-0.283,-6.668,1.264,-1.1
ASTS,Negative edge,89,36,40.45,8,8.99,34.83,15.73,-0.105,-1.0,-9.349,1.494,-0.934
AMZN,Negative edge,87,29,33.33,5,5.75,25.29,11.49,-0.124,-0.279,-10.791,1.788,-1.656
HOOD,Negative edge,85,31,36.47,6,7.06,27.06,8.24,-0.155,-0.154,-13.148,1.089,-1.131
GOOGL,Negative edge,77,33,42.86,5,6.49,27.27,10.39,-0.213,-0.35,-16.42,1.005,-1.361
