diagnostic_scope,breakdown,value,trades,sample_flag,profit_win_rate,target_hit_rate,avg_r,total_r,avg_mfe_r,avg_mae_r
Demand Reversal / Hold — Calls,backtest_realism_diagnosis,entered_before_boundary_reclaim_reject,40,ok,37.5,5.0,-0.11,-4.382,0.924,-2.699
Demand Reversal / Hold — Calls,backtest_realism_diagnosis,valid_live_style_entry,438,ok,48.17,2.28,-0.059,-25.799,0.614,-0.581
Demand Reversal / Hold — Calls,backtest_realism_diagnosis,confirmation_arrived_late_or_without_boundary_reclaim,738,ok,38.08,12.06,-0.08,-59.207,3.222,-13.487
Supply Rejection — Puts,backtest_realism_diagnosis,valid_live_style_entry,368,ok,46.47,1.36,-0.004,-1.431,0.686,-0.579
Supply Rejection — Puts,backtest_realism_diagnosis,entered_before_boundary_reclaim_reject,45,ok,35.56,13.33,-0.093,-4.196,1.192,-1.12
Supply Rejection — Puts,backtest_realism_diagnosis,confirmation_arrived_late_or_without_boundary_reclaim,778,ok,37.15,9.9,-0.133,-103.833,2.776,-2.659
all_reversal_rejection,backtest_realism_diagnosis,entered_before_boundary_reclaim_reject,85,ok,36.47,9.41,-0.101,-8.578,1.066,-1.863
all_reversal_rejection,backtest_realism_diagnosis,valid_live_style_entry,806,ok,47.39,1.86,-0.034,-27.23,0.647,-0.58
all_reversal_rejection,backtest_realism_diagnosis,confirmation_arrived_late_or_without_boundary_reclaim,1516,ok,37.6,10.95,-0.108,-163.04,2.993,-7.93
Demand Reversal / Hold — Calls,entry_9ema_relation,above_9ema,1216,ok,41.69,8.31,-0.074,-89.388,2.207,-8.483
Supply Rejection — Puts,entry_9ema_relation,below_9ema,1191,ok,39.97,7.39,-0.092,-109.46,2.071,-1.958
all_reversal_rejection,entry_9ema_relation,above_9ema,1216,ok,41.69,8.31,-0.074,-89.388,2.207,-8.483
all_reversal_rejection,entry_9ema_relation,below_9ema,1191,ok,39.97,7.39,-0.092,-109.46,2.071,-1.958
Demand Reversal / Hold — Calls,entry_close_zone_location,inside_upper_third,322,ok,49.38,1.55,-0.028,-9.157,0.617,-0.573
Demand Reversal / Hold — Calls,entry_close_zone_location,inside_lower_third,236,ok,26.69,31.78,-0.057,-13.401,8.543,-41.025
Demand Reversal / Hold — Calls,entry_close_zone_location,above_zone,438,ok,48.17,2.28,-0.059,-25.799,0.614,-0.581
Demand Reversal / Hold — Calls,entry_close_zone_location,inside_middle_third,220,ok,33.64,5.0,-0.187,-41.031,0.91,-0.888
