status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,snapshot_test_date,snapshot_as_of_date,snapshot_type,snapshot_candidate_id,snapshot_source_file
Immediate,QQQ,619.42,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD,supply,622.18,619.43,622.18,619.43,622.18,0.0,multiple_tests,Multiple retests (2 tests),2,-0.82,Weak,0.83,13.02,Weak,5.15,"1D demand @ 609.80 (RR 3.49, fresh, tests 0, quality 13.9)",3.49,3.49,13.89,609.8,,1:3.49–1:19.95,"T1: 1D demand @ 609.80 (RR 3.49, fresh, tests 0, quality 13.9) | T2: 1D demand @ 586.66 (RR 11.87, multiple_tests, tests 3, quality 6.3) | T3: 1D demand @ 570.07 (RR 17.88, fresh, tests 0, quality 13.9) | T4: 1D demand @ 564.35 (RR 19.95, one_test, tests 1, quality 11.3)","1D demand @ 609.80 (RR 3.49, fresh, tests 0, quality 13.9)",3.49,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 11.87, multiple_tests, tests 3, quality 6.3)",11.87,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 17.88, fresh, tests 0, quality 13.9)",17.88,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,B+,1,1D,1D supply 619.43-622.18 DBD,1D,606.92,609.8,1D,below_price,1.55,619.43,622.18,1D,above_price,0.0,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,617.95,1.47,0.238,Flat / no meaningful gap,flat,Sideways,0.3,grinding,above_9ema,above_vwap,618.055,617.72,2.26,high_volume,volume_expansion_with_direction,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 25%, breaks 50% (4 tests)",-5.0,57.0,"structure mixed; volume expansion; Supply history: rejects 25%, breaks 50% (4 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,rejected_2_tests_without_confluence_or_quality,6.938,B+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.49 (Strong 1:2.5–1:3.99); range 1:3.49–1:17.88,False,Zone Map / Research,Future scenario,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|QQQ|Supply Rejection — Puts|supply|1D|619.43|622.18|0,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Immediate,META,656.9,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D,DBR,demand,655.61,649.2,649.2,655.61,649.2,0.2,multiple_tests,Multiple retests (3 tests),3,0.89,Weak,1.18,2.45,Average,5.57,"1D supply @ 666.80 (RR 1.29, multiple_tests, tests 7, quality -999.0, soft obstacle: 4plus_tests)",1.29,1.29,-999.0,666.8,,1:1.29–1:16.02,"T1: 1D supply @ 666.80 (RR 1.29, multiple_tests, tests 7, quality -999.0, soft obstacle: 4plus_tests) | T2: 1D supply @ 751.44 (RR 12.28, fresh, tests 0, quality 15.2) | T3: 1D supply @ 780.25 (RR 16.02, one_test, tests 1, quality 12.3)","1D supply @ 666.80 (RR 1.29, multiple_tests, tests 7, quality -999.0, soft obstacle: 4plus_tests)",1.29,multiple_tests,7.0,soft_obstacle,"1D supply @ 751.44 (RR 12.28, fresh, tests 0, quality 15.2)",12.28,fresh,0.0,hard_target,"1D supply @ 780.25 (RR 16.02, one_test, tests 1, quality 12.3)",16.02,one_test,1.0,hard_target,2,"1D supply @ 666.80 (RR 1.29, multiple_tests, tests 7, quality -999.0, soft obstacle: 4plus_tests)",t1_nearest_unbroken_opposing_zone,C,1,1D,1D demand 649.20-655.61 DBR,1D,649.2,655.61,1D,below_price,0.2,666.8,676.71,1D,above_price,1.51,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,658.8,-1.9,-0.288,Flat / no meaningful gap,flat,Sideways,-0.5,grinding,below_9ema,below_vwap,659.915,658.537,3.237,high_volume,high_volume,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Demand Hold/Reversal Watch,above_demand_no_trigger,"Demand history: holds 43%, breaks 43% (7 tests)",0.0,50.0,"structure mixed; Demand history: holds 43%, breaks 43% (7 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,research_only_3_tests;rejected_low_target_quality;rejected_low_rr_to_nearest_opposing_zone,-195.954,C,Poor <1:1.5,rr-poor,T1 1:1.29 (Poor <1:1.5); range 1:1.29–1:16.02,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|META|Demand Reversal / Hold — Calls|demand|1D|649.2|655.61|1,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,QQQ,619.42,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD/RBD,supply,628.92,623.82,628.92,623.82,628.92,0.71,multiple_tests,Multiple retests (2 tests),2,-1.19,Moderate,1.24,4.81,Strong,6.43,"1D demand @ 609.80 (RR 1.01, fresh, tests 0, quality 13.9)",1.01,1.01,13.89,609.8,,1:1.01–1:5.80,"T1: 1D demand @ 609.80 (RR 1.01, fresh, tests 0, quality 13.9) | T2: 1D demand @ 586.66 (RR 3.45, multiple_tests, tests 3, quality 6.3) | T3: 1D demand @ 570.07 (RR 5.19, fresh, tests 0, quality 13.9) | T4: 1D demand @ 564.35 (RR 5.80, one_test, tests 1, quality 11.3)","1D demand @ 609.80 (RR 1.01, fresh, tests 0, quality 13.9)",1.01,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 3.45, multiple_tests, tests 3, quality 6.3)",3.45,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 5.19, fresh, tests 0, quality 13.9)",5.19,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,B+,2,1D,1D supply 623.82-625.78 DBD; 1D supply 624.38-628.92 RBD,1D,606.92,609.8,1D,below_price,1.55,619.43,622.18,1D,above_price,0.0,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,617.95,1.47,0.238,Flat / no meaningful gap,flat,Sideways,0.3,grinding,above_9ema,above_vwap,618.055,617.72,2.26,high_volume,volume_expansion_with_direction,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 25%, breaks 50% (4 tests)",-5.0,57.0,"structure mixed; volume expansion; Supply history: rejects 25%, breaks 50% (4 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,rejected_low_rr_to_nearest_opposing_zone,6.593,B+,Poor <1:1.5,rr-poor,T1 1:1.01 (Poor <1:1.5); range 1:1.01–1:5.19,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|QQQ|Supply Rejection — Puts|supply|1D|623.82|628.92|2,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,TEM,65.43,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,RBD,supply,67.8,65.92,67.8,65.92,67.8,0.75,fresh,Fresh / untested (0 tests),0,-0.38,Weak,1.0,2.67,Average,7.38,"1D demand @ 62.36 (RR 1.30, fresh, tests 0, quality 14.3)",1.3,1.3,14.27,62.36,,1:1.30,"T1: 1D demand @ 62.36 (RR 1.30, fresh, tests 0, quality 14.3)","1D demand @ 62.36 (RR 1.30, fresh, tests 0, quality 14.3)",1.3,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,B+,1,1D,1D supply 65.92-67.80 RBD,1D,59.09,62.36,1D,below_price,4.69,65.92,67.8,1D,above_price,0.75,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,64.67,0.76,1.175,Gap up,small_gap,Bullish,0.894,directional,above_9ema,above_vwap,64.855,64.793,3.194,high_volume,high_volume,Premarket,2026-01-06T08:00:00-05:00,preopen,gap_between_zones,Supply Rejection Watch,approaching_supply_with_strength,"Supply history: rejects 50%, breaks 25% (4 tests)",5.0,69.0,"structure mixed; approaching supply with strength; gap up 1.18%; Supply history: rejects 50%, breaks 25% (4 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,rejected_low_rr_to_nearest_opposing_zone,7.3,B+,Poor <1:1.5,rr-poor,T1 1:1.30 (Poor <1:1.5); range 1:1.30–1:1.30,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|TEM|Supply Rejection — Puts|supply|1D|65.92|67.8|3,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,AAPL,267.1,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D,DBR/RBR,demand,262.82,258.01,258.01,262.82,258.01,1.6,fresh,Fresh / untested (0 tests),0,1.28,Moderate,1.02,2.41,Average,8.8,"1D supply @ 272.81 (RR 0.63, one_test, tests 1, quality 9.7)",0.63,0.63,9.69,272.81,,1:0.63–1:1.19,"T1: 1D supply @ 272.81 (RR 0.63, one_test, tests 1, quality 9.7) | T2: 1D supply @ 277.89 (RR 1.19, fresh, tests 0, quality 14.9)","1D supply @ 272.81 (RR 0.63, one_test, tests 1, quality 9.7)",0.63,one_test,1.0,hard_target,"1D supply @ 277.89 (RR 1.19, fresh, tests 0, quality 14.9)",1.19,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,B+,2,1D,1D demand 259.18-262.82 RBR; 1D demand 258.01-259.94 DBR,1D,258.01,262.82,1D,below_price,1.6,272.81,274.08,1D,above_price,2.14,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,267.26,-0.16,-0.06,Flat / no meaningful gap,flat,Sideways,0.206,sideways,above_9ema,above_vwap,267.058,267.087,2.663,high_volume,volume_expansion_with_direction,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Demand Hold/Reversal Watch,above_demand_no_trigger,"Demand history: holds 0%, breaks 50% (2 tests)",-10.0,52.0,"structure mixed; volume expansion; Demand history: holds 0%, breaks 50% (2 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,rejected_low_rr_to_nearest_opposing_zone,7.406,B+,Poor <1:1.5,rr-poor,T1 1:0.63 (Poor <1:1.5); range 1:0.63–1:1.19,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|AAPL|Demand Reversal / Hold — Calls|demand|1D|258.01|262.82|4,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,QQQ,619.42,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D,DBD,supply,622.18,619.43,622.18,622.18,619.43,0.45,multiple_tests,Multiple retests (2 tests),2,-0.82,Weak,0.83,13.02,Weak,5.15,"1D supply @ 623.82 (RR 1.60, multiple_tests, tests 2, quality 8.6)",1.6,1.6,8.63,623.82,,1:1.60–1:4.60,"T1: 1D supply @ 623.82 (RR 1.60, multiple_tests, tests 2, quality 8.6) | T2: 1D supply @ 632.08 (RR 4.60, fresh, tests 0, quality 15.6)","1D supply @ 623.82 (RR 1.60, multiple_tests, tests 2, quality 8.6)",1.6,multiple_tests,2.0,hard_target,"1D supply @ 632.08 (RR 4.60, fresh, tests 0, quality 15.6)",4.6,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,B,1,1D,1D supply 619.43-622.18 DBD,1D,606.92,609.8,1D,below_price,1.55,619.43,622.18,1D,above_price,0.0,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,617.95,1.47,0.238,Flat / no meaningful gap,flat,Sideways,0.3,grinding,above_9ema,above_vwap,618.055,617.72,2.26,high_volume,volume_expansion_with_direction,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Supply Breakout Watch,below_supply_no_trigger,"Supply history: rejects 25%, breaks 50% (4 tests)",5.0,67.0,"structure mixed; volume expansion; Supply history: rejects 25%, breaks 50% (4 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,rejected_2_tests_without_confluence_or_quality;rejected_low_rr_to_nearest_opposing_zone,6.079,B,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.60 (Watch only 1:1.5–1:1.99); range 1:1.60–1:4.60,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|QQQ|Supply Breakout / Continuation — Calls|supply|1D|619.43|622.18|5,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,UBER,81.52,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,RBD,supply,83.66,82.04,83.66,82.04,83.66,0.64,fresh,Fresh / untested (0 tests),0,-1.1,Moderate,1.31,2.59,Strong,8.41,"1D demand @ 81.01 (RR 0.24, multiple_tests, tests 3, quality 4.8, soft obstacle: low_quality)",0.24,0.24,4.79,81.01,,1:0.24–1:0.81,"T1: 1D demand @ 81.01 (RR 0.24, multiple_tests, tests 3, quality 4.8, soft obstacle: low_quality) | T2: 1D demand @ 79.77 (RR 0.81, one_test, tests 1, quality 10.5)","1D demand @ 81.01 (RR 0.24, multiple_tests, tests 3, quality 4.8, soft obstacle: low_quality)",0.24,multiple_tests,3.0,soft_obstacle,"1D demand @ 79.77 (RR 0.81, one_test, tests 1, quality 10.5)",0.81,one_test,1.0,hard_target,,,,,,1,"1D demand @ 81.01 (RR 0.24, multiple_tests, tests 3, quality 4.8, soft obstacle: low_quality)",t1_nearest_unbroken_opposing_zone,B,1,1D,1D supply 82.04-83.66 RBD,1D,80.35,81.01,1D,below_price,0.63,82.04,83.66,1D,above_price,0.64,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,80.75,0.766,0.949,Gap up,small_gap,Sideways,0.186,sideways,above_9ema,above_vwap,81.112,80.768,2.982,high_volume,high_volume,Premarket,2026-01-06T08:00:00-05:00,preopen,gap_between_zones,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,50.0,"structure mixed; gap up 0.95%; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Research / monitor only,rejected_low_target_quality;rejected_low_rr_to_nearest_opposing_zone,5.891,B,Poor <1:1.5,rr-poor,T1 1:0.24 (Poor <1:1.5); range 1:0.24–1:0.81,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|UBER|Supply Rejection — Puts|supply|1D|82.04|83.66|6,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,NET,197.66,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD,supply,201.38,199.18,201.38,199.18,201.38,0.77,multiple_tests,Multiple retests (2 tests),2,-0.43,Weak,0.66,7.05,Weak,4.59,"1D demand @ 195.68 (RR 0.53, multiple_tests, tests 2, quality 7.4)",0.53,0.53,7.38,195.68,,1:0.53,"T1: 1D demand @ 195.68 (RR 0.53, multiple_tests, tests 2, quality 7.4)","1D demand @ 195.68 (RR 0.53, multiple_tests, tests 2, quality 7.4)",0.53,multiple_tests,2.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,B,1,1D,1D supply 199.18-201.38 DBD,1D,193.31,195.68,1D,below_price,1.0,199.18,201.38,1D,above_price,0.77,between_nearest_demand_and_supply,2026-01-06T04:05:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 04:05 AM EST,197.72,-0.06,-0.03,Flat / no meaningful gap,flat,Bearish,-0.763,directional,below_9ema,below_vwap,198.395,197.977,4.202,high_volume,volume_expansion_with_direction,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,rejecting_from_supply,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,76.0,"structure mixed; rejecting from supply; volume expansion; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Priority movement watch,rejected_2_tests_without_confluence_or_quality;rejected_low_rr_to_nearest_opposing_zone,5.014,B,Poor <1:1.5,rr-poor,T1 1:0.53 (Poor <1:1.5); range 1:0.53–1:0.53,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|NET|Supply Rejection — Puts|supply|1D|199.18|201.38|7,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,GOOGL,316.74,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD/RBD,supply,324.5,319.49,324.5,319.49,324.5,0.87,multiple_tests,Multiple retests (3 tests),3,-0.85,Weak,0.75,3.56,Weak,5.6,"1D demand @ 309.88 (RR 0.88, fresh, tests 0, quality 13.2)",0.88,0.88,13.2,309.88,,1:0.88–1:7.32,"T1: 1D demand @ 309.88 (RR 0.88, fresh, tests 0, quality 13.2) | T2: 1D demand @ 302.46 (RR 1.84, fresh, tests 0, quality 14.9) | T3: 1D demand @ 277.54 (RR 5.05, fresh, tests 0, quality 15.8) | T4: 1D demand @ 269.69 (RR 6.06, fresh, tests 0, quality 14.8) | T5: 1D demand @ 259.92 (RR 7.32, fresh, tests 0, quality 14.8)","1D demand @ 309.88 (RR 0.88, fresh, tests 0, quality 13.2)",0.88,fresh,0.0,hard_target,"1D demand @ 302.46 (RR 1.84, fresh, tests 0, quality 14.9)",1.84,fresh,0.0,hard_target,"1D demand @ 277.54 (RR 5.05, fresh, tests 0, quality 15.8)",5.05,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B,2,1D,1D supply 319.49-323.16 RBD; 1D supply 319.95-324.50 DBD,1D,305.3,309.88,1D,below_price,2.17,319.49,324.5,1D,above_price,0.87,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,316.69,0.05,0.016,Flat / no meaningful gap,flat,Sideways,0.311,grinding,above_9ema,above_vwap,316.216,316.55,2.97,high_volume,volume_expansion_with_direction,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,62.0,"structure mixed; volume expansion; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,research_only_3_tests;rejected_low_rr_to_nearest_opposing_zone,5.841,B,Poor <1:1.5,rr-poor,T1 1:0.88 (Poor <1:1.5); range 1:0.88–1:5.05,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|GOOGL|Supply Rejection — Puts|supply|1D|319.49|324.5|8,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
Near-Term,META,656.9,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,DBR,demand,655.61,649.2,649.2,649.2,655.61,1.17,multiple_tests,Multiple retests (3 tests),3,0.89,Weak,1.18,2.45,Average,5.57,"1D demand @ 650.13 (RR 1.06, one_test, tests 1, quality 13.0)",1.06,1.06,12.97,650.13,,1:1.06–1:9.77,"T1: 1D demand @ 650.13 (RR 1.06, one_test, tests 1, quality 13.0) | T2: 1D demand @ 594.25 (RR 9.77, fresh, tests 0, quality 13.9)","1D demand @ 650.13 (RR 1.06, one_test, tests 1, quality 13.0)",1.06,one_test,1.0,hard_target,"1D demand @ 594.25 (RR 9.77, fresh, tests 0, quality 13.9)",9.77,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,B,1,1D,1D demand 649.20-655.61 DBR,1D,649.2,655.61,1D,below_price,0.2,666.8,676.71,1D,above_price,1.51,between_nearest_demand_and_supply,2026-01-06T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-06 08:00 AM EST,658.8,-1.9,-0.288,Flat / no meaningful gap,flat,Sideways,-0.5,grinding,below_9ema,below_vwap,659.915,658.537,3.237,high_volume,high_volume,Premarket,2026-01-06T08:00:00-05:00,preopen,no_meaningful_gap,Demand Breakdown Watch,above_demand_no_trigger,"Demand history: holds 43%, breaks 43% (7 tests)",0.0,50.0,"structure mixed; Demand history: holds 43%, breaks 43% (7 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Research / monitor only,research_only_3_tests;rejected_low_rr_to_nearest_opposing_zone,5.612,B,Poor <1:1.5,rr-poor,T1 1:1.06 (Poor <1:1.5); range 1:1.06–1:9.77,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-06,2026-01-05,preopen,2026-01-06|preopen|META|Demand Breakdown / Continuation — Puts|demand|1D|649.2|655.61|9,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv
