test_date,zone_snapshot_as_of,preopen_context_as_of,symbol,prior_rth_close,preopen_price,preopen_price_as_of,preopen_price_session,preopen_gap_pct,preopen_gap_direction,preopen_gap_abs,preopen_move_direction,preopen_move_strength,preopen_volume_state,preopen_vpa_state,preopen_price_vs_9ema,preopen_price_vs_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,NVDA,210.2,210.09,2026-06-22T08:00:00-04:00,Premarket,-0.052,Flat / no meaningful gap,-0.11,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,AMD,536.44,539.9,2026-06-22T08:00:00-04:00,Premarket,0.645,Flat / no meaningful gap,3.46,Bullish,directional,high_volume,high_volume,above_9ema,above_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,AVGO,410.79,407.7,2026-06-22T08:00:00-04:00,Premarket,-0.752,Gap down,-3.09,Sideways,sideways,high_volume,absorption_possible,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,TSLA,400.5,397.3,2026-06-22T08:00:00-04:00,Premarket,-0.799,Gap down,-3.2,Bullish,grinding,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,META,577.3,573.89,2026-06-22T08:00:00-04:00,Premarket,-0.591,Flat / no meaningful gap,-3.41,Sideways,sideways,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,AMZN,244.37,242.9302,2026-06-22T08:00:00-04:00,Premarket,-0.589,Flat / no meaningful gap,-1.44,Sideways,sideways,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,MSFT,379.05,378.16,2026-06-22T08:00:00-04:00,Premarket,-0.235,Flat / no meaningful gap,-0.89,Sideways,sideways,high_volume,absorption_possible,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,PLTR,128.49,126.67,2026-06-22T08:00:00-04:00,Premarket,-1.416,Gap down,-1.82,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,AAPL,297.89,295.9,2026-06-22T08:00:00-04:00,Premarket,-0.668,Flat / no meaningful gap,-1.99,Bearish,grinding,high_volume,absorption_possible,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,GOOGL,367.99,361.62,2026-06-22T08:00:00-04:00,Premarket,-1.731,Gap down,-6.37,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,NFLX,77.33,77.1,2026-06-22T08:00:00-04:00,Premarket,-0.297,Flat / no meaningful gap,-0.23,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,COST,951.27,949.0,2026-06-22T08:00:00-04:00,Premarket,-0.239,Flat / no meaningful gap,-2.27,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,INTC,133.79,137.87,2026-06-22T08:00:00-04:00,Premarket,3.05,Gap up,4.08,Bullish,impulsive,high_volume,absorption_possible,above_9ema,above_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,MU,1132.01,1182.39,2026-06-22T08:00:00-04:00,Premarket,4.45,Gap up,50.38,Bullish,impulsive,high_volume,high_volume,above_9ema,above_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,CRM,151.8,150.45,2026-06-22T08:00:00-04:00,Premarket,-0.889,Gap down,-1.35,Bearish,directional,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,PANW,287.58,286.25,2026-06-22T07:35:00-04:00,Premarket,-0.462,Flat / no meaningful gap,-1.33,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,CRWD,684.53,681.5,2026-06-22T08:00:00-04:00,Premarket,-0.443,Flat / no meaningful gap,-3.03,Bullish,grinding,high_volume,high_volume,above_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,SNOW,232.09,230.3,2026-06-22T08:00:00-04:00,Premarket,-0.771,Gap down,-1.79,Sideways,grinding,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,SHOP,108.74,106.8,2026-06-22T08:00:00-04:00,Premarket,-1.784,Gap down,-1.94,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-06-22,2026-06-18T16:00:00-04:00,2026-06-22T08:00:00-04:00,UBER,71.65,71.789,2026-06-22T08:00:00-04:00,Premarket,0.194,Flat / no meaningful gap,0.139,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
