test_date,as_of_date,status,raw_zones,active_zones,merged_zones,scenarios,final_setups,preopen_context_time,preopen_scenarios,preopen_final_setups,scenario_file,final_file,active_zones_file,merged_zones_file,raw_zones_file,preopen_context_file,preopen_scenario_file,preopen_final_file
2026-01-06,2026-01-05,ok,1228,363,301,129,11,2026-01-06T08:00:00-05:00,121,9,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-06_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-06_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-06_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-06_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-06_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-06_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-06_preopen_final_watchlist.csv
2026-01-07,2026-01-06,ok,1237,359,295,113,16,2026-01-07T08:00:00-05:00,113,17,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-07_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-07_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-07_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-07_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-07_preopen_final_watchlist.csv
2026-01-08,2026-01-07,ok,1245,356,293,112,12,2026-01-08T08:00:00-05:00,104,12,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-08_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-08_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-08_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-08_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-08_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-08_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-08_preopen_final_watchlist.csv
2026-01-09,2026-01-08,ok,1325,419,335,184,19,2026-01-09T08:00:00-05:00,182,22,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-09_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-09_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-09_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-09_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-09_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-09_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-09_preopen_final_watchlist.csv
2026-01-12,2026-01-09,ok,1448,512,374,249,24,2026-01-12T08:00:00-05:00,201,21,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-12_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-12_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-12_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-12_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-12_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-12_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-12_preopen_final_watchlist.csv
2026-01-13,2026-01-12,ok,1596,571,380,254,24,2026-01-13T08:00:00-05:00,245,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-13_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-13_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-13_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-13_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-13_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-13_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-13_preopen_final_watchlist.csv
2026-01-14,2026-01-13,ok,1768,648,378,229,18,2026-01-14T08:00:00-05:00,220,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-14_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-14_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-14_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-14_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-14_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-14_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-14_preopen_final_watchlist.csv
2026-01-15,2026-01-14,ok,1964,741,399,236,23,2026-01-15T08:00:00-05:00,240,23,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-15_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-15_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-15_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-15_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-15_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-15_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-15_preopen_final_watchlist.csv
2026-01-16,2026-01-15,ok,2171,836,405,253,17,2026-01-16T08:00:00-05:00,238,20,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-16_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-16_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-16_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-16_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-16_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-16_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-16_preopen_final_watchlist.csv
2026-01-20,2026-01-16,ok,2369,903,410,237,20,2026-01-20T08:00:00-05:00,176,14,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-20_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-20_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-20_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-20_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-20_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-20_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-20_preopen_final_watchlist.csv
