status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,snapshot_test_date,snapshot_as_of_date,snapshot_type,snapshot_candidate_id,snapshot_source_file,duplicate_rows_collapsed
Near-Term,CRM,262.66,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD,supply,266.1,264.91,266.1,264.91,266.1,0.86,fresh,Fresh / untested (0 tests),0,-1.99,Strong,1.16,29.95,Average,9.15,"1D demand @ 238.72 (RR 6.96, fresh, tests 0, quality 16.2)",6.0,6.96,16.2,238.72,,1:6.96–1:10.27,"T1: 1D demand @ 238.72 (RR 6.96, fresh, tests 0, quality 16.2) | T2: 1D demand @ 230.54 (RR 9.34, fresh, tests 0, quality 13.2) | T3: 1D demand @ 227.34 (RR 10.27, one_test, tests 1, quality 11.3)","1D demand @ 238.72 (RR 6.96, fresh, tests 0, quality 16.2)",6.96,fresh,0.0,hard_target,"1D demand @ 230.54 (RR 9.34, fresh, tests 0, quality 13.2)",9.34,fresh,0.0,hard_target,"1D demand @ 227.34 (RR 10.27, one_test, tests 1, quality 11.3)",10.27,one_test,1.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A+,1,1D,1D supply 264.91-266.10 DBD,1D,233.16,238.72,1D,below_price,9.11,264.91,266.1,1D,above_price,0.86,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.951,A+,Excellent 1:4.0+,rr-excellent,T1 1:6.96 (Excellent 1:4.0+); range 1:6.96–1:10.27,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-07,2026-01-06,close,2026-01-07|close|CRM|Supply Rejection — Puts|supply|1D|264.91|266.1|3,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Near-Term,PANW,185.84,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D,DBD,supply,187.75,186.25,187.75,187.75,186.25,1.03,fresh,Fresh / untested (0 tests),0,-0.69,Weak,0.61,4.17,Weak,7.3,"1D supply @ 191.06 (RR 3.48, fresh, tests 0, quality 14.1)",3.48,3.48,14.11,191.06,,1:3.48–1:23.56,"T1: 1D supply @ 191.06 (RR 3.48, fresh, tests 0, quality 14.1) | T2: 1D supply @ 195.00 (RR 6.11, fresh, tests 0, quality 13.1) | T3: 1D supply @ 199.36 (RR 9.01, multiple_tests, tests 2, quality 11.3) | T4: 1D supply @ 216.94 (RR 20.73, fresh, tests 0, quality 16.8) | T5: 1D supply @ 221.18 (RR 23.56, one_test, tests 1, quality 10.6)","1D supply @ 191.06 (RR 3.48, fresh, tests 0, quality 14.1)",3.48,fresh,0.0,hard_target,"1D supply @ 195.00 (RR 6.11, fresh, tests 0, quality 13.1)",6.11,fresh,0.0,hard_target,"1D supply @ 199.36 (RR 9.01, multiple_tests, tests 2, quality 11.3)",9.01,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D supply 186.25-187.75 DBD,1D,181.11,183.0,1D,below_price,1.53,186.25,187.75,1D,above_price,0.22,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.472,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.48 (Strong 1:2.5–1:3.99); range 1:3.48–1:9.01,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,2026-01-07,2026-01-06,close,2026-01-07|close|PANW|Supply Breakout / Continuation — Calls|supply|1D|186.25|187.75|6,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Near-Term,QQQ,623.47,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,RBR,demand,619.32,616.72,616.72,616.72,619.32,1.08,fresh,Fresh / untested (0 tests),0,0.84,Weak,0.88,3.15,Weak,7.72,"1D demand @ 609.80 (RR 5.26, fresh, tests 0, quality 13.9)",5.26,5.26,13.89,609.8,,1:5.26–1:22.74,"T1: 1D demand @ 609.80 (RR 5.26, fresh, tests 0, quality 13.9) | T2: 1D demand @ 586.66 (RR 14.16, multiple_tests, tests 3, quality 6.3) | T3: 1D demand @ 570.07 (RR 20.54, fresh, tests 0, quality 13.9) | T4: 1D demand @ 564.35 (RR 22.74, one_test, tests 1, quality 11.3)","1D demand @ 609.80 (RR 5.26, fresh, tests 0, quality 13.9)",5.26,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 14.16, multiple_tests, tests 3, quality 6.3)",14.16,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 20.54, fresh, tests 0, quality 13.9)",20.54,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 616.72-619.32 RBR,1D,616.72,619.32,1D,below_price,0.67,623.82,628.92,1D,above_price,0.06,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.572,A,Excellent 1:4.0+,rr-excellent,T1 1:5.26 (Excellent 1:4.0+); range 1:5.26–1:20.54,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,close,2026-01-07|close|QQQ|Demand Breakdown / Continuation — Puts|demand|1D|616.72|619.32|7,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Near-Term,ANET,132.59,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,RBR,demand,131.84,130.45,130.45,130.45,131.84,1.61,one_test,One successful retest (1 tests),1,0.54,Weak,1.07,3.57,Average,6.11,"1D demand @ 125.00 (RR 5.46, fresh, tests 0, quality 15.1)",5.46,5.46,15.06,125.0,,1:5.46–1:10.19,"T1: 1D demand @ 125.00 (RR 5.46, fresh, tests 0, quality 15.1) | T2: 1D demand @ 118.42 (RR 10.19, fresh, tests 0, quality 14.1)","1D demand @ 125.00 (RR 5.46, fresh, tests 0, quality 15.1)",5.46,fresh,0.0,hard_target,"1D demand @ 118.42 (RR 10.19, fresh, tests 0, quality 14.1)",10.19,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 130.45-131.84 RBR,1D,130.45,131.84,1D,below_price,0.57,133.6,136.09,1D,above_price,0.76,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.816,A,Excellent 1:4.0+,rr-excellent,T1 1:5.46 (Excellent 1:4.0+); range 1:5.46–1:10.19,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,close,2026-01-07|close|ANET|Demand Breakdown / Continuation — Puts|demand|1D|130.45|131.84|8,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Future,NOW,148.83,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D,DBD,supply,154.69,153.19,154.69,154.69,153.19,3.94,fresh,Fresh / untested (0 tests),0,-0.43,Weak,1.84,7.04,Excellent,8.77,"1D supply @ 865.06 (RR 477.49, fresh, tests 0, quality 19.0)",6.0,477.49,19.0,865.06,,1:477.49–1:528.01,"T1: 1D supply @ 865.06 (RR 477.49, fresh, tests 0, quality 19.0) | T2: 1D supply @ 940.85 (RR 528.01, multiple_tests, tests 2, quality 9.1)","1D supply @ 865.06 (RR 477.49, fresh, tests 0, quality 19.0)",477.49,fresh,0.0,hard_target,"1D supply @ 940.85 (RR 528.01, multiple_tests, tests 2, quality 9.1)",528.01,multiple_tests,2.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,2,1D,1D supply 153.19-154.54 DBD; 1D supply 153.85-154.69 DBD,1D,,,,,,153.19,154.69,1D,above_price,2.93,zone_context_mixed,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.848,A+,Excellent 1:4.0+,rr-excellent,T1 1:477.49 (Excellent 1:4.0+); range 1:477.49–1:528.01,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,2026-01-07,2026-01-06,close,2026-01-07|close|NOW|Supply Breakout / Continuation — Calls|supply|1D|153.19|154.69|36,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Future,TSLA,432.95,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,DBR,demand,430.81,422.12,422.12,422.12,430.81,2.5,one_test,One successful retest (1 tests),1,0.94,Weak,1.05,9.32,Average,6.49,"1D demand @ 402.32 (RR 3.52, fresh, tests 0, quality 14.4)",3.52,3.52,14.43,402.32,,1:3.52–1:14.27,"T1: 1D demand @ 402.32 (RR 3.52, fresh, tests 0, quality 14.4) | T2: 1D demand @ 350.55 (RR 9.48, fresh, tests 0, quality 15.3) | T3: 1D demand @ 338.53 (RR 10.87, fresh, tests 0, quality 14.5) | T4: 1D demand @ 322.27 (RR 12.74, fresh, tests 0, quality 15.8) | T5: 1D demand @ 308.95 (RR 14.27, fresh, tests 0, quality 13.9)","1D demand @ 402.32 (RR 3.52, fresh, tests 0, quality 14.4)",3.52,fresh,0.0,hard_target,"1D demand @ 350.55 (RR 9.48, fresh, tests 0, quality 15.3)",9.48,fresh,0.0,hard_target,"1D demand @ 338.53 (RR 10.87, fresh, tests 0, quality 14.5)",10.87,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 422.12-430.81 DBR,1D,422.12,430.81,1D,below_price,0.49,447.99,457.55,1D,above_price,3.47,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.822,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.52 (Strong 1:2.5–1:3.99); range 1:3.52–1:10.87,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,close,2026-01-07|close|TSLA|Demand Breakdown / Continuation — Puts|demand|1D|422.12|430.81|37,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Future,PANW,185.84,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,DBR,demand,183.0,181.11,181.11,181.11,183.0,2.55,fresh,Fresh / untested (0 tests),0,0.97,Weak,1.11,4.69,Average,8.08,"1D demand @ 168.17 (RR 9.35, fresh, tests 0, quality 14.3)",6.0,9.35,14.35,168.17,,1:9.35,"T1: 1D demand @ 168.17 (RR 9.35, fresh, tests 0, quality 14.3)","1D demand @ 168.17 (RR 9.35, fresh, tests 0, quality 14.3)",9.35,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 181.11-183.00 DBR,1D,181.11,183.0,1D,below_price,1.53,186.25,187.75,1D,above_price,0.22,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.515,A,Excellent 1:4.0+,rr-excellent,T1 1:9.35 (Excellent 1:4.0+); range 1:9.35–1:9.35,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,close,2026-01-07|close|PANW|Demand Breakdown / Continuation — Puts|demand|1D|181.11|183.0|38,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Future,NVDA,187.27,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,RBR,demand,183.92,182.35,182.35,182.35,183.92,2.63,fresh,Fresh / untested (0 tests),0,1.16,Moderate,0.92,27.13,Average,8.08,"1D demand @ 174.53 (RR 8.11, fresh, tests 0, quality 14.8)",6.0,8.11,14.79,174.53,,1:8.11–1:10.52,"T1: 1D demand @ 174.53 (RR 8.11, fresh, tests 0, quality 14.8) | T2: 1D demand @ 172.64 (RR 9.32, multiple_tests, tests 3, quality 6.9) | T3: 1D demand @ 170.76 (RR 10.52, fresh, tests 0, quality 14.3)","1D demand @ 174.53 (RR 8.11, fresh, tests 0, quality 14.8)",8.11,fresh,0.0,hard_target,"1D demand @ 172.64 (RR 9.32, multiple_tests, tests 3, quality 6.9)",9.32,multiple_tests,3.0,hard_target,"1D demand @ 170.76 (RR 10.52, fresh, tests 0, quality 14.3)",10.52,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 182.35-183.92 RBR,1D,182.35,183.92,1D,below_price,1.79,187.54,192.93,1D,above_price,0.14,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.507,A,Excellent 1:4.0+,rr-excellent,T1 1:8.11 (Excellent 1:4.0+); range 1:8.11–1:10.52,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,close,2026-01-07|close|NVDA|Demand Breakdown / Continuation — Puts|demand|1D|182.35|183.92|40,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Future,ANET,132.59,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D,RBD,supply,136.09,133.6,136.09,136.09,133.6,2.64,one_test,One successful retest (1 tests),1,0.88,Weak,1.68,2.56,Excellent,7.06,"1D supply @ 152.86 (RR 8.14, fresh, tests 0, quality 16.1)",6.0,8.14,16.13,152.86,,1:8.14,"T1: 1D supply @ 152.86 (RR 8.14, fresh, tests 0, quality 16.1)","1D supply @ 152.86 (RR 8.14, fresh, tests 0, quality 16.1)",8.14,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D supply 133.60-136.09 RBD,1D,130.45,131.84,1D,below_price,0.57,133.6,136.09,1D,above_price,0.76,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.951,A,Excellent 1:4.0+,rr-excellent,T1 1:8.14 (Excellent 1:4.0+); range 1:8.14–1:8.14,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,2026-01-07,2026-01-06,close,2026-01-07|close|ANET|Supply Breakout / Continuation — Calls|supply|1D|133.6|136.09|41,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
Future,PLTR,179.65,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D,DBR,demand,174.88,171.79,171.79,174.88,171.79,2.66,fresh,Fresh / untested (0 tests),0,0.89,Weak,0.95,4.7,Average,7.84,"1D supply @ 205.04 (RR 3.23, fresh, tests 0, quality 16.9)",3.23,3.23,16.94,205.04,,1:3.23,"T1: 1D supply @ 205.04 (RR 3.23, fresh, tests 0, quality 16.9)","1D supply @ 205.04 (RR 3.23, fresh, tests 0, quality 16.9)",3.23,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 171.79-174.88 DBR,1D,171.79,174.88,1D,below_price,2.66,205.04,207.52,1D,above_price,14.13,between_nearest_demand_and_supply,2026-01-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.382,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.23 (Strong 1:2.5–1:3.99); range 1:3.23–1:3.23,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2026-01-07,2026-01-06,close,2026-01-07|close|PLTR|Demand Reversal / Hold — Calls|demand|1D|171.79|174.88|42,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\snapshots\2026-01-07_final_watchlist.csv,1
