symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of
NVDA,90m,demand,RBR,2026-01-14T14:00:00-05:00,182.15,180.8,182.02,182.61,180.8,182.15,1.81,0.99,0.03,0.64,8.15,0.61,fresh,0,False,5.0,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,90m,supply,RBD,2026-01-15T12:30:00-05:00,189.7,188.62,188.62,189.7,188.15,189.51,1.55,0.92,1.01,-1.16,2.34,1.12,fresh,0,False,6.03,2026-01-15T14:00:00-05:00,2026-01-15 14:00:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,1H,supply,RBD,2026-01-07T15:30:00-05:00,189.26,188.99,188.99,189.26,188.78,189.24,0.48,0.5,-0.02,-1.78,12.12,2.18,multiple_tests,5,False,4.96,2026-01-08T09:30:00-05:00,2026-01-08 09:30:00-05:00,,2026-01-15T14:30:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1H,demand,RBR,2026-01-14T14:30:00-05:00,182.15,180.8,181.84,182.61,180.8,182.15,1.81,0.99,-0.04,0.66,3.42,0.81,fresh,0,False,4.97,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,1H,demand,RBR,2026-01-15T10:30:00-05:00,187.6,186.83,187.6,188.57,186.83,187.52,1.74,1.09,2.8,0.71,13.81,1.18,multiple_tests,2,False,2.89,2026-01-15T11:30:00-05:00,2026-01-15 11:30:00-05:00,,2026-01-15T15:30:00-05:00,2026-01-15T16:00:00-05:00
NVDA,2H,demand,DBR,2026-01-14T13:30:00-05:00,182.22,180.8,182.22,182.61,180.8,182.15,1.81,0.93,0.09,0.57,15.14,0.47,fresh,0,False,5.04,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,3H,demand,DBR,2026-01-14T12:30:00-05:00,182.15,180.8,182.09,182.61,180.8,182.15,1.81,0.96,-1.52,0.44,17.67,0.33,fresh,0,False,5.27,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,1D,demand,DBR,2025-09-08T00:00:00-04:00,168.31,167.35,167.55,170.96,167.35,168.31,3.61,0.91,-0.72,0.53,2.2,0.87,fresh,0,False,7.4,2025-09-09T00:00:00-04:00,2025-09-09 00:00:00-04:00,,,2026-01-15T16:00:00-05:00
NVDA,1D,demand,RBR,2025-09-09T00:00:00-04:00,170.76,166.74,169.09,170.98,166.74,170.76,4.24,0.87,0.8,1.41,3.93,1.25,multiple_tests,3,False,6.16,2025-09-10T00:00:00-04:00,2025-09-10 00:00:00-04:00,,2025-12-17T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,demand,DBR,2025-09-17T00:00:00-04:00,172.64,168.41,172.64,173.2,168.41,170.29,4.79,1.14,-1.68,1.34,2.53,1.03,multiple_tests,3,False,5.87,2025-09-18T00:00:00-04:00,2025-09-18 00:00:00-04:00,,2025-12-18T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,supply,RBD,2025-11-03T00:00:00-05:00,211.34,206.88,208.08,211.34,205.56,206.88,5.78,1.0,0.73,-1.49,3.59,1.05,fresh,0,False,8.54,2025-11-04T00:00:00-05:00,2025-11-04 00:00:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,1D,supply,RBD,2025-11-10T00:00:00-05:00,199.94,195.11,195.11,199.94,193.79,199.05,6.15,1.05,1.82,-0.98,1.49,0.93,multiple_tests,2,False,5.41,2025-11-11T00:00:00-05:00,2025-11-11 00:00:00-05:00,,2025-11-20T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,supply,DBD,2025-11-12T00:00:00-05:00,195.89,193.8,195.72,195.89,191.13,193.8,4.76,0.84,-0.9,-1.19,2.18,1.12,one_test,1,False,6.81,2025-11-13T00:00:00-05:00,2025-11-13 00:00:00-05:00,,2025-11-20T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,demand,DBR,2025-12-18T00:00:00-05:00,174.53,171.82,174.53,176.15,171.82,174.14,4.33,0.87,-0.62,1.18,11.09,1.61,fresh,0,False,8.79,2025-12-19T00:00:00-05:00,2025-12-19 00:00:00-05:00,,,2026-01-15T16:00:00-05:00
NVDA,1D,demand,RBR,2025-12-22T00:00:00-05:00,183.92,182.35,183.92,184.16,182.35,183.69,1.81,0.68,2.0,1.16,27.13,0.92,multiple_tests,5,False,5.58,2025-12-23T00:00:00-05:00,2025-12-23 00:00:00-05:00,,2026-01-14T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,supply,RBD,2026-01-02T00:00:00-05:00,192.93,188.85,189.84,192.93,188.26,188.85,4.67,0.91,0.31,-0.17,3.7,1.13,multiple_tests,4,False,4.8,2026-01-05T00:00:00-05:00,2026-01-05 00:00:00-05:00,,2026-01-15T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,supply,RBD,2026-01-07T00:00:00-05:00,191.37,188.57,188.57,191.37,186.56,189.11,4.81,0.95,0.23,-0.93,7.54,1.06,one_test,1,False,6.49,2026-01-08T00:00:00-05:00,2026-01-08 00:00:00-05:00,,2026-01-15T00:00:00-05:00,2026-01-15T16:00:00-05:00
NVDA,1D,demand,DBR,2026-01-14T00:00:00-05:00,184.32,180.8,184.32,184.46,180.8,183.14,3.66,1.02,-0.42,0.91,3.31,1.31,fresh,0,False,8.22,2026-01-15T00:00:00-05:00,2026-01-15 00:00:00-05:00,,,2026-01-15T16:00:00-05:00
AMD,90m,demand,DBR,2026-01-13T15:30:00-05:00,221.73,220.74,221.73,222.99,220.74,221.02,2.25,0.76,0.14,-0.4,3.38,2.75,multiple_tests,4,False,4.4,2026-01-14T09:30:00-05:00,2026-01-14 09:30:00-05:00,,2026-01-14T15:30:00-05:00,2026-01-15T16:00:00-05:00
AMD,90m,demand,DBR,2026-01-14T14:00:00-05:00,222.26,219.86,222.26,223.35,219.86,221.38,3.49,0.78,0.02,0.68,2.45,0.6,fresh,0,False,5.03,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
AMD,90m,supply,DBD,2026-01-15T12:30:00-05:00,238.35,235.9,236.15,238.35,235.45,235.9,2.9,0.83,-0.28,-1.61,23.76,0.99,fresh,0,False,6.35,2026-01-15T14:00:00-05:00,2026-01-15 14:00:00-05:00,,,2026-01-15T16:00:00-05:00
AMD,1H,demand,RBR,2026-01-13T12:30:00-05:00,221.38,219.58,221.38,221.6,219.58,220.96,2.02,0.97,1.09,0.37,2.05,0.79,multiple_tests,8,False,2.16,2026-01-13T13:30:00-05:00,2026-01-13 13:30:00-05:00,,2026-01-14T15:30:00-05:00,2026-01-15T16:00:00-05:00
AMD,1H,demand,DBR,2026-01-13T15:30:00-05:00,221.73,220.74,221.73,222.99,220.74,221.02,2.25,1.03,-0.34,0.5,6.58,2.58,multiple_tests,6,False,4.08,2026-01-14T09:30:00-05:00,2026-01-14 09:30:00-05:00,,2026-01-14T15:30:00-05:00,2026-01-15T16:00:00-05:00
AMD,1H,demand,DBR,2026-01-14T14:30:00-05:00,221.8,219.86,221.8,223.35,219.86,221.38,3.49,0.72,-0.38,0.66,5.19,0.74,fresh,0,False,4.9,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
AMD,1H,supply,RBD,2026-01-15T12:30:00-05:00,238.35,236.15,236.15,238.35,235.8,237.65,2.55,0.73,0.36,-1.07,2.48,0.71,fresh,0,False,5.28,2026-01-15T13:30:00-05:00,2026-01-15 13:30:00-05:00,,,2026-01-15T16:00:00-05:00
AMD,2H,demand,DBR,2026-01-13T15:30:00-05:00,221.73,220.74,221.73,222.99,220.74,221.02,2.25,0.62,0.02,0.71,7.88,2.65,multiple_tests,3,False,4.86,2026-01-14T09:30:00-05:00,2026-01-14 09:30:00-05:00,,2026-01-14T15:30:00-05:00,2026-01-15T16:00:00-05:00
AMD,2H,supply,RBD,2026-01-15T11:30:00-05:00,238.35,236.31,236.31,238.35,235.44,237.65,2.91,1.04,3.78,-2.07,5.74,1.1,fresh,0,False,7.17,2026-01-15T13:30:00-05:00,2026-01-15 13:30:00-05:00,,,2026-01-15T16:00:00-05:00
AMD,3H,demand,DBR,2026-01-13T15:30:00-05:00,221.73,220.74,221.73,222.99,220.74,221.02,2.25,0.47,-0.11,0.08,5.3,2.61,multiple_tests,2,False,4.69,2026-01-14T09:30:00-05:00,2026-01-14 09:30:00-05:00,,2026-01-14T15:30:00-05:00,2026-01-15T16:00:00-05:00
AMD,3H,demand,RBR,2026-01-14T12:30:00-05:00,221.38,219.86,221.3,223.35,219.86,221.38,3.49,0.85,0.09,0.54,25.35,0.37,fresh,0,False,5.41,2026-01-14T15:30:00-05:00,2026-01-14 15:30:00-05:00,,,2026-01-15T16:00:00-05:00
