status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,AVGO,332.92,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/2H/90m/1H,DBD/RBD,supply,336.03,330.43,336.03,330.43,336.03,0.0,fresh,Fresh / untested (0 tests),0,-2.56,Excellent,1.88,9.47,Excellent,8.44,"4H demand @ 317.32 (RR 2.79, fresh, tests 0, quality 13.8)",2.79,2.79,13.82,317.32,,1:2.79–1:5.83,"T1: 4H demand @ 317.32 (RR 2.79, fresh, tests 0, quality 13.8) | T2: 3H/2H/90m/1H demand @ 310.41 (RR 4.02, fresh, tests 0, quality 16.5) | T3: 3H/2H/90m/1H demand @ 308.75 (RR 4.32, multiple_tests, tests 2, quality 9.5) | T4: 1D/90m demand @ 302.39 (RR 5.45, fresh, tests 0, quality 13.6) | T5: 1D/1H demand @ 300.25 (RR 5.83, fresh, tests 0, quality 13.3)","4H demand @ 317.32 (RR 2.79, fresh, tests 0, quality 13.8)",2.79,fresh,0.0,hard_target,"3H/2H/90m/1H demand @ 310.41 (RR 4.02, fresh, tests 0, quality 16.5)",4.02,fresh,0.0,hard_target,"3H/2H/90m/1H demand @ 308.75 (RR 4.32, multiple_tests, tests 2, quality 9.5)",4.32,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,12,"4H,2H,90m,1H",4H supply 331.11-334.73 DBD; 4H supply 332.60-336.03 DBD; 2H supply 330.43-334.08 DBD; 2H supply 332.96-334.36 RBD; 2H supply 333.17-336.03 DBD; 2H supply 332.29-334.76 RBD; 90m supply 330.43-334.08 DBD; 90m supply 333.14-335.00 RBD; 90m supply 333.49-335.61 RBD; 90m supply 333.21-334.76 RBD; 1H supply 330.43-334.08 DBD; 1H supply 333.48-334.73 DBD,4H,306.7,317.32,4H,below_price,4.69,330.43,336.03,4H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.784,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.79 (Strong 1:2.5–1:3.99); range 1:2.79–1:4.32,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Immediate,GOOGL,322.92,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/3H/2H/90m/1H,DBR/RBR,demand,324.55,320.43,320.43,320.43,324.55,0.0,multiple_tests,Multiple retests (2 tests),2,0.99,Weak,1.24,6.6,Strong,7.76,"1D demand @ 309.88 (RR 3.17, one_test, tests 1, quality 9.9)",3.17,3.17,9.95,309.88,,1:3.17–1:15.29,"T1: 1D demand @ 309.88 (RR 3.17, one_test, tests 1, quality 9.9) | T2: 1D demand @ 302.46 (RR 4.97, fresh, tests 0, quality 14.9) | T3: 1D demand @ 277.54 (RR 11.01, fresh, tests 0, quality 15.8) | T4: 1D demand @ 269.69 (RR 12.92, fresh, tests 0, quality 14.8) | T5: 1D demand @ 259.92 (RR 15.29, fresh, tests 0, quality 14.8)","1D demand @ 309.88 (RR 3.17, one_test, tests 1, quality 9.9)",3.17,one_test,1.0,hard_target,"1D demand @ 302.46 (RR 4.97, fresh, tests 0, quality 14.9)",4.97,fresh,0.0,hard_target,"1D demand @ 277.54 (RR 11.01, fresh, tests 0, quality 15.8)",11.01,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,8,"1D,3H,2H,90m,1H",1D demand 320.43-322.00 DBR; 3H demand 321.07-322.03 DBR; 2H demand 321.07-322.03 DBR; 2H demand 320.74-324.55 DBR; 90m demand 321.03-322.36 DBR; 1H demand 321.10-324.55 RBR; 1H demand 320.74-322.84 RBR; 1H demand 321.07-322.36 RBR,1D,320.43,324.55,1D/3H/2H/90m/1H,containing_price,0.0,324.39,325.61,1H,above_price,0.46,inside_demand,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.232,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.17 (Strong 1:2.5–1:3.99); range 1:3.17–1:11.01,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,SOFI,20.87,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,90m/1H,DBD/RBD,supply,21.16,20.82,21.16,21.16,20.82,0.0,fresh,Fresh / untested (0 tests),0,-0.27,Weak,0.53,11.09,Weak,5.55,"4H/3H/2H/90m/1H supply @ 22.07 (RR 3.53, fresh, tests 0, quality 16.7)",3.53,3.53,16.68,22.07,,1:3.53–1:9.56,"T1: 4H/3H/2H/90m/1H supply @ 22.07 (RR 3.53, fresh, tests 0, quality 16.7) | T2: 1D supply @ 22.08 (RR 3.56, fresh, tests 0, quality 13.9) | T3: 2H/90m/1H supply @ 22.39 (RR 4.47, one_test, tests 1, quality 9.2) | T4: 2H/90m/1H supply @ 22.86 (RR 5.85, one_test, tests 1, quality 8.4) | T5: 4H/3H/2H/90m/1H supply @ 24.12 (RR 9.56, fresh, tests 0, quality 18.5)","4H/3H/2H/90m/1H supply @ 22.07 (RR 3.53, fresh, tests 0, quality 16.7)",3.53,fresh,0.0,hard_target,"1D supply @ 22.08 (RR 3.56, fresh, tests 0, quality 13.9)",3.56,fresh,0.0,hard_target,"2H/90m/1H supply @ 22.39 (RR 4.47, one_test, tests 1, quality 9.2)",4.47,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,3,"90m,1H",90m supply 21.01-21.16 RBD; 1H supply 20.97-21.11 RBD; 1H supply 20.82-21.15 DBD,90m,19.19,20.23,1D,below_price,3.07,20.82,21.16,90m/1H,containing_price,0.0,inside_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.238,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.53 (Strong 1:2.5–1:3.99); range 1:3.53–1:4.47,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,SPY,690.66,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1H,RBR,demand,689.77,688.9,688.9,689.77,688.9,0.13,fresh,Fresh / untested (0 tests),0,0.26,Weak,1.15,3.02,Average,4.91,"4H/3H/2H/90m/1H supply @ 695.16 (RR 2.56, fresh, tests 0, quality 17.1)",2.56,2.56,17.15,695.16,,1:2.56,"T1: 4H/3H/2H/90m/1H supply @ 695.16 (RR 2.56, fresh, tests 0, quality 17.1)","4H/3H/2H/90m/1H supply @ 695.16 (RR 2.56, fresh, tests 0, quality 17.1)",2.56,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H demand 688.90-689.77 RBR,1H,688.9,689.77,1H,below_price,0.13,695.16,696.93,4H/3H/2H/90m/1H,above_price,0.65,between_nearest_demand_and_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.501,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.56 (Strong 1:2.5–1:3.99); range 1:2.56–1:2.56,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Near-Term,UBER,74.73,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H/90m/1H,DBD/RBD,supply,75.3,75.09,75.3,75.3,75.09,0.76,fresh,Fresh / untested (0 tests),0,-0.8,Weak,1.3,22.0,Strong,7.1,"4H/3H/2H/90m/1H supply @ 77.64 (RR 13.86, fresh, tests 0, quality 19.0)",6.0,13.86,19.0,77.64,,1:13.86–1:62.86,"T1: 4H/3H/2H/90m/1H supply @ 77.64 (RR 13.86, fresh, tests 0, quality 19.0) | T2: 1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 24.14, fresh, tests 0, quality 19.2) | T3: 4H/3H/2H/90m/1H supply @ 81.98 (RR 34.52, fresh, tests 0, quality 15.2) | T4: 4H/90m/1H supply @ 84.11 (RR 44.67, fresh, tests 0, quality 15.9) | T5: 1H supply @ 87.93 (RR 62.86, fresh, tests 0, quality 7.9)","4H/3H/2H/90m/1H supply @ 77.64 (RR 13.86, fresh, tests 0, quality 19.0)",13.86,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 24.14, fresh, tests 0, quality 19.2)",24.14,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 81.98 (RR 34.52, fresh, tests 0, quality 15.2)",34.52,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,3,"2H,90m,1H",2H supply 75.09-75.30 DBD; 90m supply 75.09-75.30 DBD; 1H supply 75.09-75.30 RBD,2H,73.33,74.96,4H/3H/2H/90m/1H,containing_price,0.0,75.09,75.3,2H/90m/1H,above_price,0.48,inside_demand,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.049,A+,Excellent 1:4.0+,rr-excellent,T1 1:13.86 (Excellent 1:4.0+); range 1:13.86–1:34.52,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,QQQ,609.63,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,4H,DBD,supply,616.77,613.67,616.77,616.77,613.67,1.17,fresh,Fresh / untested (0 tests),0,-1.92,Strong,1.93,3.85,Excellent,8.85,"4H/3H/2H/90m/1H supply @ 626.24 (RR 5.36, fresh, tests 0, quality 18.2)",5.36,5.36,18.21,626.24,,1:5.36–1:7.24,"T1: 4H/3H/2H/90m/1H supply @ 626.24 (RR 5.36, fresh, tests 0, quality 18.2) | T2: 1D/4H/3H/2H/90m/1H supply @ 632.08 (RR 7.24, fresh, tests 0, quality 20.5)","4H/3H/2H/90m/1H supply @ 626.24 (RR 5.36, fresh, tests 0, quality 18.2)",5.36,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 632.08 (RR 7.24, fresh, tests 0, quality 20.5)",7.24,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,1,4H,4H supply 613.67-616.77 DBD,4H,607.36,608.69,1H,below_price,0.15,613.67,616.77,4H,above_price,0.66,between_nearest_demand_and_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.846,A+,Excellent 1:4.0+,rr-excellent,T1 1:5.36 (Excellent 1:4.0+); range 1:5.36–1:7.24,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,ANET,137.45,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,RBR,demand,136.39,134.85,134.85,134.85,136.39,1.89,fresh,Fresh / untested (0 tests),0,0.38,Weak,0.7,36.17,Weak,6.67,"4H demand @ 128.91 (RR 5.55, fresh, tests 0, quality 12.9)",5.55,5.55,12.9,128.91,,1:5.55–1:12.36,"T1: 4H demand @ 128.91 (RR 5.55, fresh, tests 0, quality 12.9) | T2: 1D/4H/2H/90m/1H demand @ 128.69 (RR 5.69, fresh, tests 0, quality 19.3) | T3: 3H/2H/90m/1H demand @ 126.12 (RR 7.36, fresh, tests 0, quality 12.5) | T4: 1D/2H/90m/1H demand @ 123.44 (RR 9.10, fresh, tests 0, quality 16.9) | T5: 1D demand @ 118.42 (RR 12.36, fresh, tests 0, quality 14.1)","4H demand @ 128.91 (RR 5.55, fresh, tests 0, quality 12.9)",5.55,fresh,0.0,hard_target,"1D/4H/2H/90m/1H demand @ 128.69 (RR 5.69, fresh, tests 0, quality 19.3)",5.69,fresh,0.0,hard_target,"3H/2H/90m/1H demand @ 126.12 (RR 7.36, fresh, tests 0, quality 12.5)",7.36,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"2H,90m,1H",2H demand 135.23-136.39 RBR; 90m demand 135.39-135.59 RBR; 1H demand 135.25-136.36 RBR; 1H demand 134.85-135.53 RBR,2H,134.85,136.39,2H/90m/1H,below_price,0.77,136.95,139.62,4H,containing_price,0.0,inside_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.979,A+,Excellent 1:4.0+,rr-excellent,T1 1:5.55 (Excellent 1:4.0+); range 1:5.55–1:7.36,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,SPY,690.66,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1H,RBR,demand,689.77,688.9,688.9,688.9,689.77,0.25,fresh,Fresh / untested (0 tests),0,0.26,Weak,1.15,3.02,Average,4.91,"1D/4H/3H/2H/90m/1H demand @ 680.94 (RR 11.17, fresh, tests 0, quality 18.1)",6.0,11.17,18.1,680.94,,1:11.17–1:61.15,"T1: 1D/4H/3H/2H/90m/1H demand @ 680.94 (RR 11.17, fresh, tests 0, quality 18.1) | T2: 1D demand @ 653.62 (RR 42.57, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests) | T3: 1D demand @ 648.83 (RR 48.08, one_test, tests 1, quality 10.1) | T4: 1D demand @ 643.74 (RR 53.93, multiple_tests, tests 2, quality 7.4) | T5: 1D demand @ 637.46 (RR 61.15, multiple_tests, tests 2, quality 9.4)","1D/4H/3H/2H/90m/1H demand @ 680.94 (RR 11.17, fresh, tests 0, quality 18.1)",11.17,fresh,0.0,hard_target,"1D demand @ 653.62 (RR 42.57, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests)",42.57,multiple_tests,5.0,soft_obstacle,"1D demand @ 648.83 (RR 48.08, one_test, tests 1, quality 10.1)",48.08,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H demand 688.90-689.77 RBR,1H,688.9,689.77,1H,below_price,0.13,695.16,696.93,4H/3H/2H/90m/1H,above_price,0.65,between_nearest_demand_and_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.952,A,Excellent 1:4.0+,rr-excellent,T1 1:11.17 (Excellent 1:4.0+); range 1:11.17–1:48.08,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,QQQ,609.63,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1H,RBR,demand,608.69,607.36,607.36,607.36,608.69,0.37,fresh,Fresh / untested (0 tests),0,0.22,Weak,1.03,7.23,Average,4.75,"1D/4H/3H/2H/90m/1H demand @ 600.21 (RR 7.08, fresh, tests 0, quality 18.2)",6.0,7.08,18.24,600.21,,1:7.08–1:34.05,"T1: 1D/4H/3H/2H/90m/1H demand @ 600.21 (RR 7.08, fresh, tests 0, quality 18.2) | T2: 1D demand @ 586.66 (RR 17.27, multiple_tests, tests 3, quality 6.3) | T3: 1D demand @ 570.07 (RR 29.74, fresh, tests 0, quality 13.9) | T4: 1D demand @ 564.35 (RR 34.05, one_test, tests 1, quality 11.3)","1D/4H/3H/2H/90m/1H demand @ 600.21 (RR 7.08, fresh, tests 0, quality 18.2)",7.08,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 17.27, multiple_tests, tests 3, quality 6.3)",17.27,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 29.74, fresh, tests 0, quality 13.9)",29.74,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H demand 607.36-608.69 RBR,1H,607.36,608.69,1H,below_price,0.15,613.67,616.77,4H,above_price,0.66,between_nearest_demand_and_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.901,A,Excellent 1:4.0+,rr-excellent,T1 1:7.08 (Excellent 1:4.0+); range 1:7.08–1:29.74,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,PANW,159.26,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,90m,RBR,demand,158.62,158.31,158.31,158.62,158.31,0.4,fresh,Fresh / untested (0 tests),0,0.2,Weak,0.61,23.33,Weak,4.56,"90m supply @ 161.88 (RR 2.76, fresh, tests 0, quality 10.1)",2.76,2.76,10.14,161.88,,1:2.76–1:29.86,"T1: 90m supply @ 161.88 (RR 2.76, fresh, tests 0, quality 10.1) | T2: 3H/2H/90m/1H supply @ 165.65 (RR 6.73, fresh, tests 0, quality 15.7) | T3: 1D/4H/2H/90m/1H supply @ 175.00 (RR 16.57, fresh, tests 0, quality 19.4) | T4: 1D/4H/3H/2H/90m/1H supply @ 182.19 (RR 24.14, fresh, tests 0, quality 21.0) | T5: 1D/2H/90m supply @ 187.63 (RR 29.86, one_test, tests 1, quality 12.8)","90m supply @ 161.88 (RR 2.76, fresh, tests 0, quality 10.1)",2.76,fresh,0.0,hard_target,"3H/2H/90m/1H supply @ 165.65 (RR 6.73, fresh, tests 0, quality 15.7)",6.73,fresh,0.0,hard_target,"1D/4H/2H/90m/1H supply @ 175.00 (RR 16.57, fresh, tests 0, quality 19.4)",16.57,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,90m,90m demand 158.31-158.62 RBR,90m,158.31,158.62,90m,below_price,0.4,159.03,160.87,1H,containing_price,0.0,inside_supply,2026-02-06T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.506,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.76 (Strong 1:2.5–1:3.99); range 1:2.76–1:16.57,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
