symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of,confluence_count,confluence_timeframes,merged_from,primary_timeframe,primary_base_time
AAPL,1D,demand,DBR,2025-08-05T00:00:00-04:00,203.4,202.16,203.4,205.34,202.16,202.92,3.18,0.86,0.15,2.85,15.87,2.11,fresh,0,False,10.96,2025-08-06T00:00:00-04:00,2025-08-06 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 202.16-203.40 DBR,1D,2025-08-05T00:00:00-04:00
AAPL,1D,demand,RBR,2025-08-07T00:00:00-04:00,220.03,216.58,218.88,220.85,216.58,220.03,4.27,1.59,4.34,2.36,7.38,2.01,fresh,0,False,10.37,2025-08-08T00:00:00-04:00,2025-08-08 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 216.58-220.03 RBR,1D,2025-08-07T00:00:00-04:00
AAPL,1D,demand,RBR,2025-08-11T00:00:00-04:00,227.92,224.76,227.92,229.56,224.76,227.18,4.8,1.0,1.59,0.55,2.22,0.9,multiple_tests,3,False,5.45,2025-08-12T00:00:00-04:00,2025-08-12 00:00:00-04:00,,2025-09-11T00:00:00-04:00,2026-02-13T16:00:00-05:00,2,1D,1D demand 224.76-227.92 RBR; 1D demand 226.23-227.16 RBR,1D,2025-08-11T00:00:00-04:00
AAPL,1D,demand,DBR/RBR,2025-09-18T00:00:00-04:00,239.97,235.03,239.97,241.2,236.65,237.88,4.55,0.9,-0.07,1.97,2.05,3.34,fresh,0,False,11.47,2025-09-19T00:00:00-04:00,2025-09-19 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,2,1D,1D demand 236.65-239.97 DBR; 1D demand 235.03-237.00 RBR,1D,2025-09-18T00:00:00-04:00
AAPL,1D/4H/2H/90m/1H,demand,DBR/RBR,2026-01-23T00:00:00-05:00,248.39,244.68,247.32,249.41,244.68,248.04,4.73,0.99,0.09,1.66,5.46,1.32,fresh,0,False,11.24,2026-01-26T00:00:00-05:00,2026-01-26 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,9,"1D,4H,2H,90m,1H",1D demand 244.68-248.04 DBR; 1D demand 245.13-248.25 DBR; 4H demand 246.96-247.97 RBR; 2H demand 247.75-248.19 DBR; 90m demand 247.75-248.19 DBR; 90m demand 245.50-246.12 DBR; 1H demand 247.75-248.19 DBR; 1H demand 246.84-248.39 DBR; 1H demand 245.58-245.88 DBR,1D,2026-01-23T00:00:00-05:00
AAPL,1D/4H/3H/2H/90m,demand,DBR/RBR,2026-01-29T00:00:00-05:00,258.28,254.08,258.0,259.65,254.41,258.28,5.24,1.38,0.0,0.24,15.41,1.9,one_test,1,False,8.14,2026-01-30T00:00:00-05:00,2026-01-30 00:00:00-05:00,,2026-02-13T00:00:00-05:00,2026-02-13T16:00:00-05:00,9,"1D,4H,3H,2H,90m",1D demand 254.41-258.28 RBR; 4H demand 254.32-255.42 RBR; 3H demand 254.75-255.73 DBR; 2H demand 254.75-255.73 DBR; 2H demand 254.28-256.69 DBR; 2H demand 254.51-255.47 DBR; 2H demand 254.08-255.09 RBR; 90m demand 254.75-255.73 DBR; 90m demand 254.23-254.81 RBR,1D,2026-01-29T00:00:00-05:00
AAPL,4H/3H/2H/90m/1H,supply,DBD/RBD,2026-02-12T13:30:00-05:00,262.67,258.46,262.31,262.67,260.27,261.54,2.4,0.92,-2.77,-0.52,3.95,0.9,fresh,0,False,7.96,2026-02-13T09:30:00-05:00,2026-02-13 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,11,"4H,3H,2H,90m,1H",4H supply 261.54-262.67 DBD; 3H supply 259.59-262.23 DBD; 3H supply 261.48-262.55 DBD; 2H supply 261.48-262.55 RBD; 2H supply 258.91-260.27 DBD; 90m supply 261.48-262.55 RBD; 90m supply 258.70-260.27 DBD; 90m supply 259.43-260.21 DBD; 1H supply 258.46-259.31 DBD; 1H supply 261.48-262.55 RBD; 1H supply 259.30-260.21 DBD,4H,2026-02-12T13:30:00-05:00
AAPL,1H,supply,DBD,2026-02-12T11:30:00-05:00,267.04,264.59,266.19,267.04,264.42,264.59,2.62,1.37,-3.04,-1.04,1.41,2.0,fresh,0,False,6.54,2026-02-12T12:30:00-05:00,2026-02-12 12:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,1H,1H supply 264.59-267.04 DBD,1H,2026-02-12T11:30:00-05:00
AAPL,1D/4H/2H/90m/1H,supply,DBD/RBD,2026-02-11T00:00:00-05:00,280.9,274.69,274.69,280.18,274.45,275.5,5.73,0.91,0.15,-2.39,17.22,1.43,fresh,0,False,11.32,2026-02-12T00:00:00-05:00,2026-02-12 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,15,"1D,4H,2H,90m,1H",1D supply 274.69-280.18 RBD; 1D supply 277.12-280.90 RBD; 1D supply 277.90-279.22 RBD; 1D supply 277.89-279.67 DBD; 4H supply 277.80-279.01 RBD; 4H supply 275.63-278.95 RBD; 2H supply 275.49-276.55 DBD; 2H supply 278.19-280.18 RBD; 2H supply 277.65-279.01 RBD; 90m supply 275.49-276.55 DBD; 90m supply 278.89-280.15 DBD; 90m supply 279.75-280.18 RBD; 1H supply 275.49-276.55 DBD; 1H supply 278.94-279.67 RBD; 1H supply 279.12-279.95 RBD,1D,2026-02-11T00:00:00-05:00
AMD,1D,demand,DBR,2025-09-08T00:00:00-04:00,151.8,149.22,151.8,152.64,149.22,151.41,3.42,0.83,-1.87,0.8,9.82,0.85,one_test,1,False,6.15,2025-09-09T00:00:00-04:00,2025-09-09 00:00:00-04:00,,2025-09-18T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D demand 149.22-151.80 DBR,1D,2025-09-08T00:00:00-04:00
