status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed
Immediate,COST,961.01,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBD/RBD,supply,983.71,960.23,983.71,960.23,983.71,0.0,fresh,Fresh / untested (0 tests),0,-1.39,Moderate,1.58,4.53,Excellent,9.47,"1D/4H/3H/2H/90m/1H demand @ 949.27 (RR 0.50, fresh, tests 0, quality 16.5)",0.5,0.5,16.48,949.27,,1:0.50–1:4.25,"T1: 1D/4H/3H/2H/90m/1H demand @ 949.27 (RR 0.50, fresh, tests 0, quality 16.5) | T2: 1D/90m/1H demand @ 924.89 (RR 1.54, fresh, tests 0, quality 17.5) | T3: 1H demand @ 884.11 (RR 3.28, fresh, tests 0, quality 13.8) | T4: 1D demand @ 861.14 (RR 4.25, fresh, tests 0, quality 14.5)","1D/4H/3H/2H/90m/1H demand @ 949.27 (RR 0.50, fresh, tests 0, quality 16.5)",0.5,fresh,0.0,hard_target,"1D/90m/1H demand @ 924.89 (RR 1.54, fresh, tests 0, quality 17.5)",1.54,fresh,0.0,hard_target,"1H demand @ 884.11 (RR 3.28, fresh, tests 0, quality 13.8)",3.28,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,11,"4H,3H,2H,90m,1H",4H supply 977.56-983.71 DBD; 4H supply 963.87-967.58 DBD; 3H supply 977.56-983.71 DBD; 3H supply 965.60-970.17 DBD; 2H supply 972.51-981.00 DBD; 2H supply 963.87-967.58 DBD; 2H supply 960.77-963.01 RBD; 90m supply 976.00-981.00 DBD; 90m supply 960.23-965.99 RBD; 1H supply 964.28-967.58 RBD; 1H supply 977.56-981.00 DBD,4H,957.32,961.11,2H/90m,containing_price,0.0,960.23,983.71,4H/3H/2H/90m/1H,containing_price,0.0,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.667,A,Poor <1:1.5,rr-poor,T1 1:0.50 (Poor <1:1.5); range 1:0.50–1:3.28,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,COST,961.01,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBD/RBD,supply,983.71,960.23,983.71,983.71,960.23,0.0,fresh,Fresh / untested (0 tests),0,-1.39,Moderate,1.58,4.53,Excellent,9.47,"1D/4H/3H/2H/90m/1H supply @ 980.39 (RR 0.83, fresh, tests 0, quality 18.8)",0.83,0.83,18.84,980.39,,1:0.83–1:4.81,"T1: 1D/4H/3H/2H/90m/1H supply @ 980.39 (RR 0.83, fresh, tests 0, quality 18.8) | T2: 1D/4H/3H/2H/90m/1H supply @ 1003.69 (RR 1.82, fresh, tests 0, quality 17.3) | T3: 1D/4H/3H/2H/90m/1H supply @ 1026.41 (RR 2.79, fresh, tests 0, quality 20.0) | T4: 4H/3H/90m/1H supply @ 1074.01 (RR 4.81, fresh, tests 0, quality 18.3)","1D/4H/3H/2H/90m/1H supply @ 980.39 (RR 0.83, fresh, tests 0, quality 18.8)",0.83,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 1003.69 (RR 1.82, fresh, tests 0, quality 17.3)",1.82,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 1026.41 (RR 2.79, fresh, tests 0, quality 20.0)",2.79,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,11,"4H,3H,2H,90m,1H",4H supply 977.56-983.71 DBD; 4H supply 963.87-967.58 DBD; 3H supply 977.56-983.71 DBD; 3H supply 965.60-970.17 DBD; 2H supply 972.51-981.00 DBD; 2H supply 963.87-967.58 DBD; 2H supply 960.77-963.01 RBD; 90m supply 976.00-981.00 DBD; 90m supply 960.23-965.99 RBD; 1H supply 964.28-967.58 RBD; 1H supply 977.56-981.00 DBD,4H,957.32,961.11,2H/90m,containing_price,0.0,960.23,983.71,4H/3H/2H/90m/1H,containing_price,0.0,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.865,A,Poor <1:1.5,rr-poor,T1 1:0.83 (Poor <1:1.5); range 1:0.83–1:2.79,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,AMZN,234.27,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,234.89,230.48,230.48,234.89,230.48,0.0,fresh,Fresh / untested (0 tests),0,1.24,Moderate,0.76,5.84,Weak,7.95,"1D/4H/3H/2H/90m/1H supply @ 242.96 (RR 1.97, fresh, tests 0, quality 19.0)",1.97,1.97,18.96,242.96,,1:1.97–1:6.65,"T1: 1D/4H/3H/2H/90m/1H supply @ 242.96 (RR 1.97, fresh, tests 0, quality 19.0) | T2: 4H/3H supply @ 247.32 (RR 2.96, multiple_tests, tests 3, quality 5.6, soft obstacle: low_quality) | T3: 1D/3H/2H/90m/1H supply @ 252.90 (RR 4.22, fresh, tests 0, quality 18.2) | T4: 1D/4H/3H/2H/90m/1H supply @ 256.49 (RR 5.04, fresh, tests 0, quality 17.9) | T5: 90m/1H supply @ 263.61 (RR 6.65, one_test, tests 1, quality 7.2)","1D/4H/3H/2H/90m/1H supply @ 242.96 (RR 1.97, fresh, tests 0, quality 19.0)",1.97,fresh,0.0,hard_target,"4H/3H supply @ 247.32 (RR 2.96, multiple_tests, tests 3, quality 5.6, soft obstacle: low_quality)",2.96,multiple_tests,3.0,soft_obstacle,"1D/3H/2H/90m/1H supply @ 252.90 (RR 4.22, fresh, tests 0, quality 18.2)",4.22,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,13,"4H,3H,2H,90m,1H",4H demand 234.05-234.89 DBR; 4H demand 232.78-234.10 DBR; 3H demand 233.85-234.13 DBR; 3H demand 232.78-233.59 DBR; 2H demand 230.48-231.77 RBR; 2H demand 234.05-234.89 DBR; 2H demand 232.78-234.10 DBR; 90m demand 230.63-231.99 RBR; 90m demand 234.05-234.30 DBR; 90m demand 232.78-234.25 DBR; 90m demand 232.24-233.70 DBR; 1H demand 234.05-234.54 DBR; 1H demand 230.63-231.65 RBR,4H,230.48,234.89,4H/3H/2H/90m/1H,containing_price,0.0,242.96,249.51,1D/4H/3H/2H/90m/1H,above_price,3.71,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.169,A,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.97 (Watch only 1:1.5–1:1.99); range 1:1.97–1:4.22,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,AMZN,234.27,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBR/RBR,demand,234.89,230.48,230.48,230.48,234.89,0.0,fresh,Fresh / untested (0 tests),0,1.24,Moderate,0.76,5.84,Weak,7.95,"4H/3H/2H demand @ 225.23 (RR 2.05, fresh, tests 0, quality 17.2)",2.05,2.05,17.25,225.23,,1:2.05–1:7.39,"T1: 4H/3H/2H demand @ 225.23 (RR 2.05, fresh, tests 0, quality 17.2) | T2: 4H/3H/2H/90m/1H demand @ 221.79 (RR 2.83, fresh, tests 0, quality 15.9) | T3: 1D/4H/3H/2H/90m/1H demand @ 213.78 (RR 4.65, fresh, tests 0, quality 18.4) | T4: 3H/2H/90m/1H demand @ 206.35 (RR 6.33, one_test, tests 1, quality 11.0) | T5: 1D/4H/3H/2H/90m/1H demand @ 201.69 (RR 7.39, fresh, tests 0, quality 18.3)","4H/3H/2H demand @ 225.23 (RR 2.05, fresh, tests 0, quality 17.2)",2.05,fresh,0.0,hard_target,"4H/3H/2H/90m/1H demand @ 221.79 (RR 2.83, fresh, tests 0, quality 15.9)",2.83,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 213.78 (RR 4.65, fresh, tests 0, quality 18.4)",4.65,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,13,"4H,3H,2H,90m,1H",4H demand 234.05-234.89 DBR; 4H demand 232.78-234.10 DBR; 3H demand 233.85-234.13 DBR; 3H demand 232.78-233.59 DBR; 2H demand 230.48-231.77 RBR; 2H demand 234.05-234.89 DBR; 2H demand 232.78-234.10 DBR; 90m demand 230.63-231.99 RBR; 90m demand 234.05-234.30 DBR; 90m demand 232.78-234.25 DBR; 90m demand 232.24-233.70 DBR; 1H demand 234.05-234.54 DBR; 1H demand 230.63-231.65 RBR,4H,230.48,234.89,4H/3H/2H/90m/1H,containing_price,0.0,242.96,249.51,1D/4H/3H/2H/90m/1H,above_price,3.71,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.217,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.05 (Acceptable 1:2.0–1:2.49); range 1:2.05–1:4.65,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,UBER,73.85,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D/4H/3H/2H/90m,DBD/RBD,supply,74.97,73.25,74.97,73.25,74.97,0.0,one_test,One successful retest (1 tests),1,-1.12,Moderate,0.77,65.67,Weak,7.89,"4H/2H/90m/1H demand @ 69.91 (RR 2.29, fresh, tests 0, quality 15.7)",2.29,2.29,15.67,69.91,,1:2.29–1:2.90,"T1: 4H/2H/90m/1H demand @ 69.91 (RR 2.29, fresh, tests 0, quality 15.7) | T2: 4H/3H/2H/90m/1H demand @ 68.86 (RR 2.90, fresh, tests 0, quality 18.6)","4H/2H/90m/1H demand @ 69.91 (RR 2.29, fresh, tests 0, quality 15.7)",2.29,fresh,0.0,hard_target,"4H/3H/2H/90m/1H demand @ 68.86 (RR 2.90, fresh, tests 0, quality 18.6)",2.9,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,14,"1D,4H,3H,2H,90m",1D supply 73.25-74.28 RBD; 1D supply 73.61-74.61 DBD; 4H supply 73.65-74.97 RBD; 4H supply 74.61-74.85 RBD; 4H supply 73.81-74.36 RBD; 4H supply 73.53-74.28 RBD; 3H supply 73.65-74.97 RBD; 3H supply 74.61-74.89 RBD; 3H supply 73.81-74.56 RBD; 3H supply 73.65-74.28 RBD; 2H supply 74.61-74.85 DBD; 90m supply 74.60-74.85 RBD; 90m supply 74.41-74.87 RBD; 90m supply 73.87-74.61 RBD,1D,69.56,69.91,4H/2H/90m/1H,below_price,5.34,73.25,74.97,1D/4H/3H/2H/90m,containing_price,0.0,inside_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.046,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.29 (Acceptable 1:2.0–1:2.49); range 1:2.29–1:2.90,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,SOFI,17.32,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/4H/3H/2H/90m/1H,DBR/RBR,demand,17.5,17.01,17.01,17.01,17.5,0.0,one_test,One successful retest (1 tests),1,0.67,Weak,1.43,3.4,Strong,7.8,"4H/3H/2H/90m/1H demand @ 16.59 (RR 1.49, fresh, tests 0, quality 15.3)",1.49,1.49,15.31,16.59,,1:1.49–1:3.86,"T1: 4H/3H/2H/90m/1H demand @ 16.59 (RR 1.49, fresh, tests 0, quality 15.3) | T2: 1D/3H/90m/1H demand @ 16.30 (RR 2.08, fresh, tests 0, quality 17.4) | T3: 4H/3H/2H/90m demand @ 16.09 (RR 2.51, fresh, tests 0, quality 16.0) | T4: 90m/1H demand @ 15.44 (RR 3.84, fresh, tests 0, quality 12.0) | T5: 1D demand @ 15.43 (RR 3.86, multiple_tests, tests 9, quality -999.0, soft obstacle: 4plus_tests)","4H/3H/2H/90m/1H demand @ 16.59 (RR 1.49, fresh, tests 0, quality 15.3)",1.49,fresh,0.0,hard_target,"1D/3H/90m/1H demand @ 16.30 (RR 2.08, fresh, tests 0, quality 17.4)",2.08,fresh,0.0,hard_target,"4H/3H/2H/90m demand @ 16.09 (RR 2.51, fresh, tests 0, quality 16.0)",2.51,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,8,"1D,4H,3H,2H,90m,1H",1D demand 17.01-17.28 RBR; 4H demand 17.14-17.30 DBR; 3H demand 17.14-17.50 DBR; 3H demand 17.07-17.27 DBR; 2H demand 17.14-17.30 DBR; 90m demand 17.20-17.29 DBR; 90m demand 17.07-17.17 DBR; 1H demand 17.23-17.38 DBR,1D,17.01,17.5,1D/4H/3H/2H/90m/1H,containing_price,0.0,17.59,17.64,1H,above_price,1.56,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.544,A,Poor <1:1.5,rr-poor,T1 1:1.49 (Poor <1:1.5); range 1:1.49–1:2.51,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,AMD,519.48,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBD/RBD,supply,528.49,519.64,528.49,519.64,528.49,0.03,fresh,Fresh / untested (0 tests),0,-0.34,Weak,1.2,8.67,Strong,8.04,"2H/90m/1H demand @ 515.30 (RR 0.46, fresh, tests 0, quality 12.8)",0.46,0.46,12.77,515.3,,1:0.46–1:5.18,"T1: 2H/90m/1H demand @ 515.30 (RR 0.46, fresh, tests 0, quality 12.8) | T2: 1D demand @ 511.57 (RR 0.88, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T3: 90m/1H demand @ 488.21 (RR 3.47, fresh, tests 0, quality 12.7) | T4: 4H demand @ 476.72 (RR 4.75, fresh, tests 0, quality 11.4) | T5: 3H demand @ 472.82 (RR 5.18, fresh, tests 0, quality 11.1)","2H/90m/1H demand @ 515.30 (RR 0.46, fresh, tests 0, quality 12.8)",0.46,fresh,0.0,hard_target,"1D demand @ 511.57 (RR 0.88, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)",0.88,multiple_tests,4.0,soft_obstacle,"90m/1H demand @ 488.21 (RR 3.47, fresh, tests 0, quality 12.7)",3.47,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,10,"4H,3H,2H,90m,1H",4H supply 520.22-524.77 RBD; 4H supply 519.80-521.55 DBD; 3H supply 520.22-524.77 RBD; 3H supply 523.09-528.49 DBD; 2H supply 520.50-524.96 RBD; 2H supply 523.09-528.49 DBD; 90m supply 520.50-524.96 RBD; 90m supply 522.25-528.49 RBD; 1H supply 519.64-522.49 RBD; 1H supply 524.05-526.50 RBD,4H,509.84,520.82,4H/2H,containing_price,0.0,519.64,528.49,4H/3H/2H/90m/1H,above_price,0.03,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.783,A,Poor <1:1.5,rr-poor,T1 1:0.46 (Poor <1:1.5); range 1:0.46–1:3.47,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,UBER,73.85,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m,DBD/RBD,supply,74.97,73.25,74.97,74.97,73.25,0.0,one_test,One successful retest (1 tests),1,-1.12,Moderate,0.77,65.67,Weak,7.89,"1D/4H/3H/2H supply @ 74.89 (RR 0.60, multiple_tests, tests 2, quality 9.5)",0.6,0.6,9.53,74.89,,1:0.60–1:4.73,"T1: 1D/4H/3H/2H supply @ 74.89 (RR 0.60, multiple_tests, tests 2, quality 9.5) | T2: 1D/4H/3H/2H/90m/1H supply @ 76.20 (RR 1.37, fresh, tests 0, quality 17.0) | T3: 4H/2H/90m/1H supply @ 79.08 (RR 3.04, fresh, tests 0, quality 14.9) | T4: 1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 3.46, fresh, tests 0, quality 18.4) | T5: 4H/3H/2H/90m/1H supply @ 81.98 (RR 4.73, fresh, tests 0, quality 15.2)","1D/4H/3H/2H supply @ 74.89 (RR 0.60, multiple_tests, tests 2, quality 9.5)",0.6,multiple_tests,2.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 76.20 (RR 1.37, fresh, tests 0, quality 17.0)",1.37,fresh,0.0,hard_target,"4H/2H/90m/1H supply @ 79.08 (RR 3.04, fresh, tests 0, quality 14.9)",3.04,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,14,"1D,4H,3H,2H,90m",1D supply 73.25-74.28 RBD; 1D supply 73.61-74.61 DBD; 4H supply 73.65-74.97 RBD; 4H supply 74.61-74.85 RBD; 4H supply 73.81-74.36 RBD; 4H supply 73.53-74.28 RBD; 3H supply 73.65-74.97 RBD; 3H supply 74.61-74.89 RBD; 3H supply 73.81-74.56 RBD; 3H supply 73.65-74.28 RBD; 2H supply 74.61-74.85 DBD; 90m supply 74.60-74.85 RBD; 90m supply 74.41-74.87 RBD; 90m supply 73.87-74.61 RBD,1D,69.56,69.91,4H/2H/90m/1H,below_price,5.34,73.25,74.97,1D/4H/3H/2H/90m,containing_price,0.0,inside_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,6.938,B+,Poor <1:1.5,rr-poor,T1 1:0.60 (Poor <1:1.5); range 1:0.60–1:3.04,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,SOFI,17.32,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m/1H,DBR/RBR,demand,17.5,17.01,17.01,17.5,17.01,0.0,one_test,One successful retest (1 tests),1,0.67,Weak,1.43,3.4,Strong,7.8,"1H supply @ 17.59 (RR 0.55, fresh, tests 0, quality 8.2)",0.55,0.55,8.21,17.59,,1:0.55–1:2.12,"T1: 1H supply @ 17.59 (RR 0.55, fresh, tests 0, quality 8.2) | T2: 1D supply @ 17.74 (RR 0.86, one_test, tests 1, quality 11.6) | T3: 90m supply @ 17.96 (RR 1.31, fresh, tests 0, quality 9.4) | T4: 2H/90m supply @ 18.28 (RR 1.96, one_test, tests 1, quality 9.5) | T5: 1D/4H/3H/2H/90m/1H supply @ 18.36 (RR 2.12, fresh, tests 0, quality 19.7)","1H supply @ 17.59 (RR 0.55, fresh, tests 0, quality 8.2)",0.55,fresh,0.0,hard_target,"1D supply @ 17.74 (RR 0.86, one_test, tests 1, quality 11.6)",0.86,one_test,1.0,hard_target,"90m supply @ 17.96 (RR 1.31, fresh, tests 0, quality 9.4)",1.31,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,8,"1D,4H,3H,2H,90m,1H",1D demand 17.01-17.28 RBR; 4H demand 17.14-17.30 DBR; 3H demand 17.14-17.50 DBR; 3H demand 17.07-17.27 DBR; 2H demand 17.14-17.30 DBR; 90m demand 17.20-17.29 DBR; 90m demand 17.07-17.17 DBR; 1H demand 17.23-17.38 DBR,1D,17.01,17.5,1D/4H/3H/2H/90m/1H,containing_price,0.0,17.59,17.64,1H,above_price,1.56,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,6.622,B+,Poor <1:1.5,rr-poor,T1 1:0.55 (Poor <1:1.5); range 1:0.55–1:1.31,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,SHOP,114.17,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D/1H,RBD,supply,115.31,111.98,115.31,111.98,115.31,0.0,fresh,Fresh / untested (0 tests),0,-0.98,Weak,1.0,3.45,Average,6.98,"1D/4H/3H/2H/90m/1H demand @ 108.60 (RR 1.67, fresh, tests 0, quality 19.1)",1.67,1.67,19.05,108.6,,1:1.67–1:4.63,"T1: 1D/4H/3H/2H/90m/1H demand @ 108.60 (RR 1.67, fresh, tests 0, quality 19.1) | T2: 1D/4H/3H/2H/90m/1H demand @ 106.60 (RR 2.27, one_test, tests 1, quality 14.6) | T3: 1D demand @ 102.97 (RR 3.36, multiple_tests, tests 2, quality 6.7) | T4: 4H/3H/2H/90m demand @ 101.01 (RR 3.95, multiple_tests, tests 2, quality 7.2) | T5: 3H demand @ 98.75 (RR 4.63, one_test, tests 1, quality 7.8)","1D/4H/3H/2H/90m/1H demand @ 108.60 (RR 1.67, fresh, tests 0, quality 19.1)",1.67,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 106.60 (RR 2.27, one_test, tests 1, quality 14.6)",2.27,one_test,1.0,hard_target,"1D demand @ 102.97 (RR 3.36, multiple_tests, tests 2, quality 6.7)",3.36,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,2,"1D,1H",1D supply 111.98-114.58 RBD; 1H supply 114.59-115.31 RBD,1D,106.14,108.6,1D/4H/3H/2H/90m/1H,below_price,4.88,111.98,115.31,1D/1H,containing_price,0.0,inside_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.297,B+,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.67 (Watch only 1:1.5–1:1.99); range 1:1.67–1:3.36,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
