symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score
NVDA,90m,demand,RBR,2026-01-09T11:00:00-05:00,184.95,184.69,184.88,185.7,184.69,184.95,1.01,0.75,-0.08,0.23,5.53,0.58,broken,1,True,1.55
NVDA,90m,supply,RBD,2026-01-09T14:00:00-05:00,186.34,185.36,185.36,186.34,185.25,185.56,1.09,0.77,0.34,-0.4,3.59,0.38,broken,2,True,1.53
NVDA,90m,demand,DBR,2026-01-13T09:30:00-05:00,185.01,183.4,185.01,185.14,183.4,184.8,1.74,1.76,-0.77,1.02,7.6,1.75,broken,3,True,3.52
NVDA,90m,demand,DBR,2026-01-13T14:00:00-05:00,184.73,184.22,184.62,184.95,184.22,184.73,0.73,0.81,-0.97,0.62,9.98,0.49,broken,0,True,1.86
NVDA,90m,demand,RBR,2026-01-14T14:00:00-05:00,182.15,180.8,182.02,182.61,180.8,182.15,1.81,0.99,0.03,0.64,8.15,0.61,broken,0,True,2.0
NVDA,90m,supply,RBD,2026-01-15T12:30:00-05:00,189.7,188.62,188.62,189.7,188.15,189.51,1.55,0.92,1.01,-1.16,2.34,1.12,broken,8,True,3.03
NVDA,90m,supply,DBD,2026-01-15T15:30:00-05:00,187.53,187.14,187.41,187.53,186.33,187.14,1.2,0.57,-1.26,0.48,3.7,2.12,broken,0,True,3.35
NVDA,90m,supply,RBD,2026-01-16T12:30:00-05:00,188.27,188.02,188.02,188.27,187.43,188.07,0.84,0.71,0.01,-0.19,6.29,0.71,broken,5,True,1.64
NVDA,90m,supply,DBD,2026-01-16T14:00:00-05:00,188.41,187.74,188.07,188.41,187.62,187.74,0.8,0.7,-0.16,-0.86,4.54,0.62,broken,6,True,2.23
NVDA,90m,supply,DBD,2026-01-20T12:30:00-05:00,180.09,179.75,180.01,180.09,178.9,179.75,1.19,0.85,-0.5,-0.75,4.83,0.79,broken,0,True,2.29
NVDA,90m,demand,DBR,2026-01-20T15:30:00-05:00,178.5,177.61,178.5,178.93,177.61,178.21,1.32,0.68,-0.89,2.62,12.67,1.64,broken,2,True,5.01
NVDA,90m,demand,RBR,2026-01-21T15:30:00-05:00,183.78,183.0,183.78,184.72,183.0,183.34,1.72,0.53,1.01,0.8,3.97,1.42,broken,0,True,2.97
NVDA,90m,supply,RBD,2026-01-22T11:00:00-05:00,186.17,184.97,185.08,186.17,184.66,184.97,1.51,0.82,0.77,-0.24,4.86,0.58,broken,0,True,1.57
