symbol,events,supply_events,demand_events,supply_rejection_rate_pct,supply_break_rate_pct,demand_hold_rate_pct,demand_break_rate_pct
ASTS,36,12,24,41.67,50.0,41.67,45.83
IONQ,18,9,9,22.22,44.44,44.44,55.56
SMCI,18,13,5,7.69,61.54,40.0,40.0
AVGO,17,10,7,30.0,40.0,42.86,57.14
RKLB,17,6,11,33.33,50.0,45.45,54.55
NVDA,16,7,9,28.57,42.86,22.22,44.44
ARM,15,9,6,55.56,44.44,33.33,66.67
AMD,14,5,9,60.0,40.0,33.33,55.56
PANW,14,6,8,50.0,16.67,25.0,75.0
APP,13,5,8,0.0,80.0,37.5,62.5
GOOGL,13,2,11,50.0,50.0,36.36,54.55
MU,13,2,11,100.0,0.0,45.45,45.45
ANET,12,6,6,16.67,50.0,50.0,33.33
TSLA,12,6,6,50.0,33.33,33.33,16.67
RBLX,11,8,3,50.0,50.0,0.0,100.0
SHOP,11,4,7,50.0,50.0,28.57,57.14
AMZN,10,1,9,100.0,0.0,0.0,77.78
INTC,10,5,5,60.0,40.0,100.0,0.0
META,10,3,7,66.67,33.33,42.86,42.86
TEM,10,4,6,50.0,25.0,16.67,50.0
COST,9,5,4,20.0,60.0,75.0,25.0
HIMS,9,5,4,60.0,40.0,25.0,75.0
HOOD,9,6,3,16.67,66.67,33.33,66.67
NOW,9,4,5,25.0,50.0,20.0,60.0
PLTR,9,6,3,33.33,66.67,33.33,66.67
QQQ,9,4,5,25.0,50.0,40.0,60.0
SOFI,9,6,3,50.0,50.0,0.0,66.67
AAPL,8,6,2,50.0,33.33,0.0,50.0
CRWD,8,1,7,0.0,0.0,14.29,71.43
NET,8,2,6,50.0,50.0,33.33,66.67
NFLX,8,4,4,0.0,75.0,50.0,50.0
SPY,8,4,4,25.0,50.0,25.0,50.0
MSFT,7,4,3,25.0,25.0,33.33,66.67
MSTR,7,3,4,0.0,100.0,0.0,100.0
SNOW,7,3,4,33.33,33.33,50.0,50.0
CRM,6,3,3,66.67,33.33,33.33,66.67
UBER,6,2,4,50.0,50.0,0.0,75.0
COIN,5,2,3,0.0,0.0,0.0,100.0
