snapshot_date,symbol,zone_type,zone_timeframe,zone_bottom,zone_top,quality_score,freshness,tests,base_time,touch_time,price_at_touch,raw_zone_outcome,bars_to_resolution,same_bar_ambiguous,max_reaction_zone_r,max_break_zone_r,structure_or_move_context,recent_move_pct,price_vs_9ema,price_vs_vwap,volume_ratio_recent,vpa_state
2026-02-03,AAPL,supply,1H,270.53,271.05,7.45,fresh,0,2026-01-02T15:30:00-05:00,2026-02-03 09:50 EST,270.918,supply_rejected,0.0,False,6.615,1.587,,,,,,
2026-02-03,AMD,demand,1D/4H/3H/2H/90m/1H,234.55,238.36,10.99,fresh,0,2026-01-30T00:00:00-05:00,2026-02-03 13:40 EST,238.49,demand_held,16.0,False,2.804,0.0,,,,,,
2026-02-03,AMD,supply,2H/90m,247.43,249.66,5.61,fresh,0,2026-02-02T11:30:00-05:00,2026-02-03 09:30 EST,249.48,supply_rejected,4.0,False,5.66,1.341,,,,,,
2026-02-03,AMD,supply,1D/4H/2H/90m/1H,251.89,255.55,10.38,fresh,0,2026-01-27T00:00:00-05:00,2026-02-03 09:30 EST,249.48,supply_rejected,1.0,False,5.058,0.0,,,,,,
2026-02-03,AMZN,demand,1D/4H/3H/2H/90m/1H,236.74,239.98,9.68,fresh,0,2026-01-30T00:00:00-05:00,2026-02-03 10:05 EST,239.36,demand_broken,37.0,False,1.164,0.398,,,,,,
2026-02-03,AMZN,supply,4H/2H/90m/1H,242.94,245.53,6.72,fresh,0,2026-01-28T13:30:00-05:00,2026-02-03 09:30 EST,244.65,supply_rejected,6.0,False,3.892,0.317,,,,,,
2026-02-03,ANET,demand,1D/4H/3H/2H/90m/1H,134.86,138.37,10.87,fresh,0,2026-01-23T00:00:00-05:00,2026-02-03 09:40 EST,138.215,demand_chop,,False,1.467,0.0,,,,,,
2026-02-03,ANET,supply,4H/3H/2H/90m/1H,140.56,144.51,7.97,fresh,0,2026-02-02T09:30:00-05:00,2026-02-03 09:30 EST,140.095,supply_rejected,5.0,False,2.324,0.0,,,,,,
2026-02-03,APP,demand,1D,434.02,450.68,7.66,fresh,0,2025-08-25T00:00:00-04:00,2026-02-03 10:15 EST,450.56,demand_held,9.0,False,2.247,0.0,,,,,,
2026-02-03,APP,demand,1D,458.65,469.0,5.24,multiple_tests,2,2025-08-27T00:00:00-04:00,2026-02-03 09:30 EST,468.0,demand_held,0.0,False,2.545,0.974,,,,,,
2026-02-03,APP,demand,1D/1H,472.42,480.72,4.95,one_test,1,2025-08-29T00:00:00-04:00,2026-02-03 09:30 EST,468.0,demand_broken,0.0,False,1.514,2.873,,,,,,
2026-02-03,ARM,demand,3H/2H/90m/1H,103.4,104.28,5.48,one_test,1,2026-01-14T12:30:00-05:00,2026-02-03 11:15 EST,104.405,demand_broken,15.0,False,1.511,2.08,,,,,,
2026-02-03,ARM,demand,1D/3H/2H/90m/1H,104.95,106.66,8.26,fresh,0,2026-01-16T00:00:00-05:00,2026-02-03 09:35 EST,106.49,demand_broken,17.0,False,1.491,1.977,,,,,,
2026-02-03,ARM,supply,4H/3H/90m/1H,106.51,108.12,6.49,fresh,0,2026-01-30T09:30:00-05:00,2026-02-03 09:30 EST,107.51,supply_rejected,18.0,False,4.068,0.77,,,,,,
2026-02-03,ASTS,demand,3H/2H,103.27,106.28,4.02,multiple_tests,3,2026-01-27T09:30:00-05:00,2026-02-03 09:30 EST,106.65,demand_held,0.0,False,4.455,0.0,,,,,,
2026-02-03,ASTS,demand,1D,103.27,111.34,5.54,multiple_tests,2,2026-01-27T00:00:00-05:00,2026-02-03 09:30 EST,106.65,demand_chop,,False,1.662,0.0,,,,,,
2026-02-03,ASTS,demand,4H/90m/1H,104.37,106.02,5.13,multiple_tests,2,2026-01-26T13:30:00-05:00,2026-02-03 09:35 EST,107.98,demand_held,0.0,False,7.461,0.0,,,,,,
2026-02-03,ASTS,supply,1H,106.57,107.92,2.83,one_test,1,2026-02-02T11:30:00-05:00,2026-02-03 09:30 EST,106.65,supply_broken,1.0,False,1.644,6.489,,,,,,
2026-02-03,ASTS,supply,90m,108.72,113.12,6.61,fresh,0,2026-01-30T15:30:00-05:00,2026-02-03 09:30 EST,106.65,supply_broken,11.0,False,1.686,0.809,,,,,,
2026-02-03,ASTS,supply,2H,108.72,113.12,6.58,fresh,0,2026-01-30T15:30:00-05:00,2026-02-03 09:30 EST,106.65,supply_broken,11.0,False,1.686,0.809,,,,,,
2026-02-03,ASTS,supply,1H,109.08,110.67,4.91,fresh,0,2026-02-02T09:30:00-05:00,2026-02-03 09:30 EST,106.65,supply_rejected,0.0,False,3.126,3.78,,,,,,
2026-02-03,ASTS,supply,4H,110.4,114.37,6.67,fresh,0,2026-01-30T13:30:00-05:00,2026-02-03 10:15 EST,110.145,supply_broken,5.0,False,1.584,0.582,,,,,,
2026-02-03,ASTS,supply,90m,112.1,113.79,3.96,one_test,1,2026-01-30T12:30:00-05:00,2026-02-03 10:20 EST,111.796,supply_rejected,0.0,False,3.316,1.71,,,,,,
2026-02-03,AVGO,demand,1D/4H/90m,314.11,320.05,8.51,fresh,0,2026-01-23T00:00:00-05:00,2026-02-03 10:20 EST,317.345,demand_broken,22.0,False,1.14,0.919,,,,,,
2026-02-03,AVGO,demand,1H,324.5,326.13,4.36,multiple_tests,4,2026-01-26T15:30:00-05:00,2026-02-03 09:50 EST,324.83,demand_held,0.0,False,2.748,9.724,,,,,,
2026-02-03,AVGO,demand,1D/4H/3H/2H/90m/1H,327.34,332.44,8.19,fresh,0,2026-01-30T00:00:00-05:00,2026-02-03 09:40 EST,327.885,demand_broken,2.0,False,1.139,3.665,,,,,,
2026-02-03,AVGO,supply,4H/2H/90m/1H,332.29,336.03,6.32,one_test,1,2026-01-20T13:30:00-05:00,2026-02-03 09:30 EST,335.014,supply_rejected,2.0,False,7.321,0.767,,,,,,
2026-02-03,COST,demand,90m/1H,961.69,964.3,5.98,fresh,0,2026-02-02T12:30:00-05:00,2026-02-03 09:30 EST,980.43,demand_held,0.0,False,11.098,0.0,,,,,,
2026-02-03,COST,supply,3H/2H/90m/1H,969.75,971.35,7.04,one_test,1,2026-01-27T15:30:00-05:00,2026-02-03 09:30 EST,980.43,supply_ambiguous_same_bar,0.0,True,4.419,12.065,,,,,,
2026-02-03,COST,supply,4H/3H/2H/90m/1H,977.69,989.64,10.69,fresh,0,2026-01-26T13:30:00-05:00,2026-02-03 09:30 EST,980.43,supply_rejected,0.0,False,2.122,0.085,,,,,,
2026-02-03,CRWD,demand,1D,407.06,417.58,7.56,fresh,0,2025-09-05T00:00:00-04:00,2026-02-03 12:05 EST,417.99,demand_chop,,False,1.468,0.0,,,,,,
2026-02-03,CRWD,demand,1D/3H,434.8,444.98,6.09,multiple_tests,4,2025-09-12T00:00:00-04:00,2026-02-03 09:30 EST,433.315,demand_broken,0.0,False,0.29,1.94,,,,,,
2026-02-03,GOOGL,demand,1D/4H/3H/2H/90m/1H,332.29,341.97,9.23,fresh,0,2026-01-30T00:00:00-05:00,2026-02-03 10:00 EST,342.52,demand_chop,,False,1.379,0.0,,,,,,
2026-02-03,HOOD,demand,2H,88.67,89.28,5.24,fresh,0,2026-02-02T13:30:00-05:00,2026-02-03 09:30 EST,89.43,demand_held,0.0,False,2.754,6.131,,,,,,
2026-02-03,IONQ,demand,1D,36.45,37.25,7.84,fresh,0,2025-08-21T00:00:00-04:00,2026-02-03 10:00 EST,37.74,demand_held,4.0,False,2.988,0.0,,,,,,
2026-02-03,IONQ,demand,90m,37.72,38.26,2.18,multiple_tests,2,2026-02-02T11:00:00-05:00,2026-02-03 09:35 EST,38.26,demand_held,0.0,False,2.093,2.019,,,,,,
2026-02-03,IONQ,demand,1D,38.0,42.56,6.12,multiple_tests,3,2025-11-21T00:00:00-05:00,2026-02-03 09:30 EST,38.64,demand_broken,2.0,False,0.399,0.3,,,,,,
2026-02-03,IONQ,demand,3H/2H/1H,38.11,38.3,6.04,fresh,0,2026-02-02T12:30:00-05:00,2026-02-03 09:35 EST,38.26,demand_held,0.0,False,3.895,7.789,,,,,,
2026-02-03,META,demand,90m,705.52,709.45,2.45,multiple_tests,2,2026-02-02T11:00:00-05:00,2026-02-03 09:30 EST,708.57,demand_held,1.0,False,2.921,4.863,,,,,,
2026-02-03,META,supply,4H/3H/2H/90m/1H,710.04,719.32,7.77,fresh,0,2026-01-30T13:30:00-05:00,2026-02-03 09:30 EST,708.57,supply_rejected,7.0,False,3.546,0.0,,,,,,
2026-02-03,MSFT,demand,90m/1H,423.0,424.77,4.28,multiple_tests,3,2026-01-29T12:30:00-05:00,2026-02-03 09:30 EST,416.555,demand_broken,0.0,False,0.0,8.158,,,,,,
2026-02-03,MSTR,demand,4H/90m/1H,139.36,143.23,4.94,multiple_tests,3,2026-01-29T13:30:00-05:00,2026-02-03 09:30 EST,138.78,demand_broken,0.0,False,0.225,3.261,,,,,,
2026-02-03,MU,demand,1D/90m/1H,399.6,410.24,7.29,one_test,1,2026-01-27T00:00:00-05:00,2026-02-03 13:55 EST,409.555,demand_chop,,False,1.898,0.0,,,,,,
2026-02-03,MU,demand,4H/3H/2H/90m/1H,408.63,414.73,10.13,fresh,0,2026-01-27T13:30:00-05:00,2026-02-03 10:20 EST,415.755,demand_held,3.0,False,3.428,0.18,,,,,,
2026-02-03,MU,supply,90m/1H,435.92,443.2,5.63,fresh,0,2026-02-02T12:30:00-05:00,2026-02-03 09:30 EST,433.98,supply_rejected,2.0,False,4.9,0.0,,,,,,
2026-02-03,NET,demand,1H,169.6,170.66,5.04,fresh,0,2026-01-22T11:30:00-05:00,2026-02-03 10:10 EST,170.195,demand_broken,1.0,False,1.594,5.368,,,,,,
2026-02-03,NET,demand,1D/4H/3H/2H/90m/1H,172.15,174.96,11.95,one_test,1,2026-01-23T00:00:00-05:00,2026-02-03 09:50 EST,173.83,demand_broken,3.0,False,1.178,2.932,,,,,,
2026-02-03,NET,demand,1D/4H,175.63,179.59,8.11,fresh,0,2026-01-30T00:00:00-05:00,2026-02-03 09:30 EST,178.85,demand_broken,3.0,False,1.524,2.96,,,,,,
2026-02-03,NFLX,demand,3H/2H/90m/1H,82.35,82.89,3.98,multiple_tests,3,2026-01-29T12:30:00-05:00,2026-02-03 09:30 EST,82.018,demand_broken,0.0,False,0.185,5.056,,,,,,
2026-02-03,NOW,demand,2H/90m/1H,113.13,114.4,8.02,fresh,0,2026-01-29T13:30:00-05:00,2026-02-03 09:30 EST,110.75,demand_ambiguous_same_bar,0.0,True,2.173,3.961,,,,,,
2026-02-03,NOW,demand,4H/3H/2H/90m/1H,115.89,117.82,8.77,fresh,0,2026-01-30T13:30:00-05:00,2026-02-03 09:30 EST,110.75,demand_broken,0.0,False,0.0,4.036,,,,,,
2026-02-03,NVDA,demand,2H/90m/1H,177.61,178.5,9.07,fresh,0,2026-01-20T15:30:00-05:00,2026-02-03 13:55 EST,178.43,demand_held,4.0,False,3.472,1.551,,,,,,
2026-02-03,NVDA,demand,1H,179.19,180.25,5.84,fresh,0,2026-01-21T12:30:00-05:00,2026-02-03 10:15 EST,180.72,demand_broken,14.0,False,1.726,2.792,,,,,,
2026-02-03,NVDA,demand,4H/2H/90m/1H,183.0,184.85,8.67,fresh,0,2026-01-22T13:30:00-05:00,2026-02-03 09:30 EST,184.17,demand_broken,4.0,False,1.778,3.659,,,,,,
2026-02-03,PANW,demand,1D,166.21,168.17,8.35,fresh,0,2025-08-11T00:00:00-04:00,2026-02-03 10:10 EST,167.72,demand_broken,4.0,False,1.179,1.469,,,,,,
2026-02-03,PANW,demand,2H/1H,173.69,175.04,4.0,multiple_tests,2,2026-01-29T13:30:00-05:00,2026-02-03 09:30 EST,173.29,demand_broken,0.0,False,0.637,7.674,,,,,,
2026-02-03,PLTR,supply,4H,146.65,148.04,5.78,one_test,1,2026-01-30T13:30:00-05:00,2026-02-03 09:30 EST,159.582,supply_broken,0.0,False,0.0,12.258,,,,,,
2026-02-03,PLTR,supply,4H/2H/1H,148.85,151.98,8.03,fresh,0,2026-01-29T13:30:00-05:00,2026-02-03 09:30 EST,159.582,supply_broken,0.0,False,0.0,4.185,,,,,,
2026-02-03,PLTR,supply,90m/1H,158.54,160.05,6.7,fresh,0,2026-01-28T12:30:00-05:00,2026-02-03 09:30 EST,159.582,supply_rejected,2.0,False,4.589,3.33,,,,,,
2026-02-03,PLTR,supply,1H,162.85,163.23,7.51,fresh,0,2026-01-28T10:30:00-05:00,2026-02-03 09:30 EST,159.582,supply_rejected,0.0,False,26.605,4.863,,,,,,
2026-02-03,QQQ,demand,1D/2H/90m/1H,606.92,611.57,9.37,fresh,0,2025-12-18T00:00:00-05:00,2026-02-03 14:00 EST,611.27,demand_held,23.0,False,2.118,0.0,,,,,,
2026-02-03,QQQ,demand,4H/3H/2H/90m/1H,618.91,623.22,9.16,fresh,0,2026-01-30T13:30:00-05:00,2026-02-03 09:40 EST,623.89,demand_held,0.0,False,2.568,1.845,,,,,,
2026-02-03,QQQ,supply,2H/90m,627.14,628.49,5.54,fresh,0,2026-02-02T11:30:00-05:00,2026-02-03 09:30 EST,626.84,supply_rejected,1.0,False,12.985,1.104,,,,,,
2026-02-03,RBLX,demand,4H,64.54,65.95,7.13,fresh,0,2026-01-30T13:30:00-05:00,2026-02-03 09:30 EST,65.323,demand_broken,3.0,False,1.706,1.0,,,,,,
2026-02-03,RKLB,supply,2H/90m/1H,75.6,76.37,6.37,fresh,0,2026-02-02T11:30:00-05:00,2026-02-03 09:30 EST,77.83,supply_broken,0.0,False,0.779,6.429,,,,,,
2026-02-03,RKLB,supply,4H/1H,79.29,80.78,7.3,fresh,0,2026-01-30T13:30:00-05:00,2026-02-03 10:50 EST,79.09,supply_rejected,5.0,False,3.362,0.362,,,,,,
2026-02-03,SHOP,demand,1D,115.95,118.6,8.42,fresh,0,2025-08-01T00:00:00-04:00,2026-02-03 12:35 EST,118.59,demand_chop,,False,1.502,0.0,,,,,,
2026-02-03,SHOP,demand,1D,123.0,127.0,13.0,fresh,0,2025-08-05T00:00:00-04:00,2026-02-03 09:40 EST,127.14,demand_broken,12.0,False,1.26,1.375,,,,,,
2026-02-03,SHOP,demand,3H/2H/90m/1H,130.43,131.29,6.25,multiple_tests,2,2026-01-30T15:30:00-05:00,2026-02-03 09:30 EST,129.53,demand_broken,0.0,False,1.436,15.035,,,,,,
2026-02-03,SMCI,demand,1D/4H/3H/2H/90m/1H,28.57,29.42,10.66,fresh,0,2026-01-15T00:00:00-05:00,2026-02-03 09:50 EST,29.38,demand_chop,,False,1.488,0.0,,,,,,
2026-02-03,SNOW,demand,1D,188.0,193.06,5.22,multiple_tests,5,2025-08-12T00:00:00-04:00,2026-02-03 09:30 EST,187.986,demand_broken,0.0,False,0.429,3.761,,,,,,
2026-02-03,SOFI,demand,1D,21.02,21.47,5.78,one_test,1,2025-08-06T00:00:00-04:00,2026-02-03 12:10 EST,21.509,demand_chop,,False,1.778,0.0,,,,,,
2026-02-03,SOFI,supply,2H/90m/1H,22.39,23.0,7.08,fresh,0,2026-02-02T11:30:00-05:00,2026-02-03 09:30 EST,22.729,supply_rejected,23.0,False,3.246,0.59,,,,,,
2026-02-03,SOFI,supply,2H/90m/1H,22.86,23.18,5.87,fresh,0,2026-01-30T11:30:00-05:00,2026-02-03 09:30 EST,22.729,supply_rejected,1.0,False,6.75,0.562,,,,,,
2026-02-03,SPY,demand,1D/4H/3H/2H/90m/1H,684.63,691.85,9.13,fresh,0,2026-01-23T00:00:00-05:00,2026-02-03 10:10 EST,691.91,demand_broken,46.0,False,1.219,0.083,,,,,,
2026-02-03,SPY,supply,4H/3H/2H/90m/1H,695.16,696.93,9.78,fresh,0,2026-01-28T13:30:00-05:00,2026-02-03 09:30 EST,696.09,supply_rejected,5.0,False,7.288,0.017,,,,,,
2026-02-03,TEM,demand,1D,53.39,55.18,6.06,one_test,1,2025-08-01T00:00:00-04:00,2026-02-03 13:20 EST,55.228,demand_chop,,False,1.5,0.0,,,,,,
2026-02-03,TEM,supply,2H/1H,59.17,60.02,5.98,fresh,0,2026-02-02T11:30:00-05:00,2026-02-03 09:30 EST,58.725,supply_rejected,3.0,False,6.612,0.0,,,,,,
2026-02-03,TSLA,demand,3H/2H/90m/1H,414.5,421.25,10.94,fresh,0,2026-01-29T15:30:00-05:00,2026-02-03 09:30 EST,424.888,demand_held,16.0,False,2.083,0.12,,,,,,
2026-02-03,TSLA,supply,3H/1H,423.29,427.15,5.52,fresh,0,2026-02-02T12:30:00-05:00,2026-02-03 09:30 EST,424.888,supply_broken,27.0,False,3.487,0.365,,,,,,
2026-02-03,UBER,demand,1D/4H/2H,78.31,80.05,8.71,fresh,0,2025-12-19T00:00:00-05:00,2026-02-03 09:30 EST,79.81,demand_broken,10.0,False,1.362,0.58,,,,,,
2026-02-04,AAPL,supply,1D,272.81,274.08,5.44,one_test,1,2025-12-30T00:00:00-05:00,2026-02-04 09:30 EST,274.615,supply_broken,0.0,False,1.413,3.835,,,,,,
2026-02-04,AAPL,supply,1D,277.89,279.67,8.49,fresh,0,2025-12-12T00:00:00-05:00,2026-02-04 09:50 EST,278.125,supply_rejected,2.0,False,3.669,0.0,,,,,,
2026-02-04,AMD,demand,1D,195.0,208.81,5.2,multiple_tests,11,2025-11-21T00:00:00-05:00,2026-02-04 09:55 EST,207.395,demand_chop,,False,1.064,0.0,,,,,,
2026-02-04,AMD,demand,1D,200.5,205.72,8.09,fresh,0,2026-01-09T00:00:00-05:00,2026-02-04 10:35 EST,206.67,demand_broken,24.0,False,1.517,0.259,,,,,,
2026-02-04,AMD,demand,4H/3H/2H/90m/1H,219.58,223.53,11.65,fresh,0,2026-01-14T13:30:00-05:00,2026-02-04 09:30 EST,211.66,demand_broken,0.0,False,0.0,5.172,,,,,,
2026-02-04,AMD,demand,1D/4H/90m/1H,228.86,234.3,12.25,fresh,0,2026-01-16T00:00:00-05:00,2026-02-04 09:30 EST,211.66,demand_broken,0.0,False,0.0,5.461,,,,,,
2026-02-04,AMD,demand,1D/4H/3H/2H/90m/1H,234.55,240.34,10.99,fresh,0,2026-01-30T00:00:00-05:00,2026-02-04 09:30 EST,211.66,demand_broken,0.0,False,0.0,6.114,,,,,,
2026-02-04,AMZN,demand,1D/4H/3H/2H/90m/1H,230.19,235.19,9.5,fresh,0,2026-01-22T00:00:00-05:00,2026-02-04 09:55 EST,235.28,demand_chop,,False,1.616,0.0,,,,,,
2026-02-04,AMZN,demand,1D/3H/2H,235.45,239.98,7.51,fresh,0,2026-01-30T00:00:00-05:00,2026-02-04 09:30 EST,237.01,demand_broken,5.0,False,0.753,0.801,,,,,,
2026-02-04,ANET,demand,1D/4H/3H/2H/90m/1H,134.86,138.37,8.37,fresh,0,2026-01-23T00:00:00-05:00,2026-02-04 09:30 EST,136.86,demand_broken,19.0,False,1.285,1.601,,,,,,
2026-02-04,APP,demand,1D,408.8,418.76,8.03,fresh,0,2025-08-21T00:00:00-04:00,2026-02-04 09:30 EST,395.86,demand_broken,0.0,False,0.146,2.651,,,,,,
2026-02-04,APP,demand,1D,434.02,450.68,6.16,one_test,1,2025-08-25T00:00:00-04:00,2026-02-04 09:30 EST,395.86,demand_broken,0.0,False,0.0,3.098,,,,,,
2026-02-04,APP,demand,3H/2H/1H,448.57,457.74,6.21,fresh,0,2026-02-03T12:30:00-05:00,2026-02-04 09:30 EST,395.86,demand_broken,0.0,False,0.0,7.216,,,,,,
2026-02-04,APP,demand,1D,458.65,469.0,5.24,multiple_tests,3,2025-08-27T00:00:00-04:00,2026-02-04 09:30 EST,395.86,demand_broken,0.0,False,0.0,7.367,,,,,,
2026-02-04,ARM,demand,3H/2H/1H,101.57,103.69,7.09,fresh,0,2026-02-03T12:30:00-05:00,2026-02-04 10:00 EST,103.56,demand_held,8.0,False,3.12,0.0,,,,,,
2026-02-04,ARM,supply,1H,103.66,104.65,3.24,one_test,1,2026-02-03T11:30:00-05:00,2026-02-04 09:30 EST,104.98,supply_broken,0.0,False,1.667,3.571,,,,,,
2026-02-04,ARM,supply,4H/3H/90m/1H,106.51,108.12,8.85,fresh,0,2026-02-02T13:30:00-05:00,2026-02-04 09:40 EST,106.01,supply_rejected,2.0,False,3.18,0.04,,,,,,
2026-02-04,ASTS,demand,1H,96.93,100.14,5.91,fresh,0,2026-01-21T13:30:00-05:00,2026-02-04 11:35 EST,99.57,demand_held,7.0,False,2.822,0.0,,,,,,
2026-02-04,ASTS,demand,4H,96.93,103.54,6.29,one_test,1,2026-01-21T13:30:00-05:00,2026-02-04 10:30 EST,102.05,demand_chop,,False,1.371,0.0,,,,,,
2026-02-04,ASTS,demand,90m,97.14,100.14,3.58,multiple_tests,3,2026-01-15T11:00:00-05:00,2026-02-04 11:35 EST,99.57,demand_held,7.0,False,2.95,0.0,,,,,,
2026-02-04,ASTS,demand,90m,98.11,99.48,6.22,fresh,0,2026-01-21T12:30:00-05:00,2026-02-04 11:40 EST,99.05,demand_held,2.0,False,5.752,0.372,,,,,,
2026-02-04,ASTS,demand,3H/2H,103.27,106.28,4.02,multiple_tests,4,2026-01-27T09:30:00-05:00,2026-02-04 10:20 EST,107.04,demand_broken,2.0,False,1.385,1.884,,,,,,
2026-02-04,ASTS,demand,1D,103.27,111.34,5.54,multiple_tests,3,2026-01-27T00:00:00-05:00,2026-02-04 09:30 EST,111.42,demand_broken,12.0,False,1.409,0.703,,,,,,
2026-02-04,ASTS,demand,4H/90m/1H,104.06,106.02,8.83,fresh,0,2026-02-02T13:30:00-05:00,2026-02-04 10:25 EST,105.026,demand_broken,1.0,False,1.724,3.296,,,,,,
2026-02-04,ASTS,demand,2H,108.19,113.6,4.76,fresh,0,2026-02-03T13:30:00-05:00,2026-02-04 09:30 EST,111.42,demand_broken,5.0,False,1.192,1.957,,,,,,
2026-02-04,ASTS,supply,90m/1H,113.56,116.68,4.13,multiple_tests,2,2026-02-03T11:00:00-05:00,2026-02-04 09:30 EST,111.42,supply_rejected,0.0,False,6.115,0.0,,,,,,
2026-02-04,AVGO,demand,1D,291.71,300.25,5.95,multiple_tests,3,2025-08-27T00:00:00-04:00,2026-02-04 12:20 EST,300.535,demand_held,36.0,False,2.083,0.0,,,,,,
